Start,6D6D6D,
End,FFFFFF,
,,
x,y,Luminance
2.412000E-3,5.367477E-3,22.626574
2.428080E-3,5.367477E-3,22.626574
2.444160E-3,5.780381E-3,22.669804
2.460240E-3,3.715971E-3,22.453665
2.476320E-3,4.128838E-3,22.496891
2.492400E-3,4.954591E-3,22.583345
2.508480E-3,4.128838E-3,22.496891
2.524560E-3,3.715971E-3,22.453665
2.540640E-3,2.890181E-3,22.367207
2.556720E-3,4.128838E-3,22.496891
2.572800E-3,5.367477E-3,22.626574
2.588880E-3,3.715971E-3,22.453665
2.604960E-3,1.238657E-3,22.194296
2.621040E-3,2.064428E-3,22.280752
2.637120E-3,4.954591E-3,22.583345
2.653200E-3,6.606134E-3,22.756258
2.669280E-3,6.193249E-3,22.713030
2.685360E-3,3.303067E-3,22.410435
2.701440E-3,4.541724E-3,22.540119
2.717520E-3,4.128838E-3,22.496891
2.733600E-3,2.477296E-3,22.323978
2.749680E-3,3.303067E-3,22.410435
2.765760E-3,3.303067E-3,22.410435
2.781840E-3,4.541724E-3,22.540119
2.797920E-3,3.303067E-3,22.410435
2.814000E-3,3.715971E-3,22.453665
2.830080E-3,4.128838E-3,22.496891
2.846160E-3,2.477296E-3,22.323978
2.862240E-3,1.651543E-3,22.237524
2.878320E-3,0.000000E+0,22.064611
2.894400E-3,2.890181E-3,22.367207
2.910480E-3,4.541724E-3,22.540119
2.926560E-3,5.367477E-3,22.626574
2.942640E-3,5.367477E-3,22.626574
2.958720E-3,3.303067E-3,22.410435
2.974800E-3,2.064428E-3,22.280752
2.990880E-3,4.128838E-3,22.496891
3.006960E-3,2.477296E-3,22.323978
3.023040E-3,825.789582E-6,22.151070
3.039120E-3,4.954591E-3,22.583345
3.055200E-3,2.890181E-3,22.367207
3.071280E-3,3.715971E-3,22.453665
3.087360E-3,5.367477E-3,22.626574
3.103440E-3,2.890181E-3,22.367207
3.119520E-3,2.064428E-3,22.280752
3.135600E-3,1.238657E-3,22.194296
3.151680E-3,2.064428E-3,22.280752
3.167760E-3,5.780381E-3,22.669804
