Start,DBDBDB,
End,FFFFFF,
,,
x,y,Luminance
2.412000E-3,44.499561E-3,93.303955
2.428080E-3,54.388184E-3,93.649773
2.444160E-3,50.680086E-3,93.520096
2.460240E-3,42.027134E-3,93.217491
2.476320E-3,42.027134E-3,93.217491
2.492400E-3,46.971772E-3,93.390411
2.508480E-3,43.263458E-3,93.260727
2.524560E-3,48.207875E-3,93.433640
2.540640E-3,53.152077E-3,93.606544
2.556720E-3,51.916193E-3,93.563324
2.572800E-3,48.207875E-3,93.433640
2.588880E-3,40.791027E-3,93.174263
2.604960E-3,49.443983E-3,93.476868
2.621040E-3,49.443983E-3,93.476868
2.637120E-3,46.971772E-3,93.390411
2.653200E-3,50.680086E-3,93.520096
2.669280E-3,49.443983E-3,93.476868
2.685360E-3,51.916193E-3,93.563324
2.701440E-3,46.971772E-3,93.390411
2.717520E-3,46.971772E-3,93.390411
2.733600E-3,42.027134E-3,93.217491
2.749680E-3,42.027134E-3,93.217491
2.765760E-3,45.735668E-3,93.347183
2.781840E-3,45.735668E-3,93.347183
2.797920E-3,45.735668E-3,93.347183
2.814000E-3,51.916193E-3,93.563324
2.830080E-3,48.207875E-3,93.433640
2.846160E-3,49.443983E-3,93.476868
2.862240E-3,48.207875E-3,93.433640
2.878320E-3,43.263458E-3,93.260727
2.894400E-3,50.680086E-3,93.520096
2.910480E-3,45.735668E-3,93.347183
2.926560E-3,48.207875E-3,93.433640
2.942640E-3,49.443983E-3,93.476868
2.958720E-3,46.971772E-3,93.390411
2.974800E-3,35.846826E-3,93.001358
2.990880E-3,40.791027E-3,93.174263
3.006960E-3,39.554924E-3,93.131035
3.023040E-3,39.554924E-3,93.131035
3.039120E-3,42.027134E-3,93.217491
3.055200E-3,44.499561E-3,93.303955
3.071280E-3,51.916193E-3,93.563324
3.087360E-3,48.207875E-3,93.433640
3.103440E-3,42.027134E-3,93.217491
3.119520E-3,39.554924E-3,93.131035
3.135600E-3,45.735668E-3,93.347183
3.151680E-3,49.443983E-3,93.476868
3.167760E-3,45.735668E-3,93.347183
3.183840E-3,49.443983E-3,93.476868
3.199920E-3,43.263458E-3,93.260727
3.216000E-3,42.027134E-3,93.217491
3.232080E-3,39.554924E-3,93.131035
3.248160E-3,37.082713E-3,93.044579
3.264240E-3,40.791027E-3,93.174263
3.280320E-3,45.735668E-3,93.347183
3.296400E-3,42.027134E-3,93.217491
3.312480E-3,44.499561E-3,93.303955
3.328560E-3,40.791027E-3,93.174263
3.344640E-3,34.610722E-3,92.958130
3.360720E-3,46.971772E-3,93.390411
3.376800E-3,42.027134E-3,93.217491
3.392880E-3,45.735668E-3,93.347183
3.408960E-3,43.263458E-3,93.260727
3.425040E-3,42.027134E-3,93.217491
3.441120E-3,44.499561E-3,93.303955
3.457200E-3,40.791027E-3,93.174263
3.473280E-3,42.027134E-3,93.217491
3.489360E-3,38.318820E-3,93.087807
3.505440E-3,34.610722E-3,92.958130
3.521520E-3,40.791027E-3,93.174263
3.537600E-3,43.263458E-3,93.260727
3.553680E-3,44.499561E-3,93.303955
3.569760E-3,46.971772E-3,93.390411
3.585840E-3,38.318820E-3,93.087807
3.601920E-3,35.846826E-3,93.001358
3.618000E-3,39.554924E-3,93.131035
3.634080E-3,40.791027E-3,93.174263
3.650160E-3,45.735668E-3,93.347183
3.666240E-3,44.499561E-3,93.303955
3.682320E-3,32.138512E-3,92.871674
3.698400E-3,43.263458E-3,93.260727
3.714480E-3,39.554924E-3,93.131035
3.730560E-3,42.027134E-3,93.217491
3.746640E-3,42.027134E-3,93.217491
3.762720E-3,38.318820E-3,93.087807
3.778800E-3,37.082713E-3,93.044579
3.794880E-3,39.554924E-3,93.131035
3.810960E-3,44.499561E-3,93.303955
3.827040E-3,49.443983E-3,93.476868
3.843120E-3,38.318820E-3,93.087807
3.859200E-3,37.082713E-3,93.044579
3.875280E-3,35.846826E-3,93.001358
3.891360E-3,40.791027E-3,93.174263
3.907440E-3,35.846826E-3,93.001358
3.923520E-3,39.554924E-3,93.131035
3.939600E-3,43.263458E-3,93.260727
3.955680E-3,39.554924E-3,93.131035
3.971760E-3,38.318820E-3,93.087807
3.987840E-3,40.791027E-3,93.174263
4.003920E-3,33.374615E-3,92.914902
4.020000E-3,37.082713E-3,93.044579
4.036080E-3,44.499561E-3,93.303955
4.052160E-3,46.971772E-3,93.390411
4.068240E-3,43.263458E-3,93.260727
