Start,B6B6B6,
End,DBDBDB,
,,
x,y,Luminance
2.412000E-3,35.519175E-3,63.866764
2.428080E-3,31.420834E-3,63.737080
2.444160E-3,32.786947E-3,63.780308
2.460240E-3,34.153063E-3,63.823536
2.476320E-3,30.054603E-3,63.693848
2.492400E-3,32.786947E-3,63.780308
2.508480E-3,36.885165E-3,63.909988
2.524560E-3,35.519175E-3,63.866764
2.540640E-3,30.054603E-3,63.693848
2.556720E-3,30.054603E-3,63.693848
2.572800E-3,31.420834E-3,63.737080
2.588880E-3,32.786947E-3,63.780308
2.604960E-3,38.251400E-3,63.953220
2.621040E-3,30.054603E-3,63.693848
2.637120E-3,39.617512E-3,63.996449
2.653200E-3,34.153063E-3,63.823536
2.669280E-3,34.153063E-3,63.823536
2.685360E-3,32.786947E-3,63.780308
2.701440E-3,40.983506E-3,64.039673
2.717520E-3,36.885165E-3,63.909988
2.733600E-3,27.322376E-3,63.607391
2.749680E-3,25.956385E-3,63.564167
2.765760E-3,28.688490E-3,63.650620
2.781840E-3,35.519175E-3,63.866764
2.797920E-3,32.786947E-3,63.780308
2.814000E-3,35.519175E-3,63.866764
2.830080E-3,38.251400E-3,63.953220
2.846160E-3,38.251400E-3,63.953220
2.862240E-3,31.420834E-3,63.737080
2.878320E-3,30.054603E-3,63.693848
2.894400E-3,30.054603E-3,63.693848
2.910480E-3,38.251400E-3,63.953220
2.926560E-3,25.956385E-3,63.564167
2.942640E-3,25.956385E-3,63.564167
2.958720E-3,39.617512E-3,63.996449
2.974800E-3,43.715730E-3,64.126129
2.990880E-3,39.617512E-3,63.996449
3.006960E-3,30.054603E-3,63.693848
3.023040E-3,31.420834E-3,63.737080
3.039120E-3,30.054603E-3,63.693848
3.055200E-3,31.420834E-3,63.737080
3.071280E-3,25.956385E-3,63.564167
3.087360E-3,34.153063E-3,63.823536
3.103440E-3,40.983506E-3,64.039673
3.119520E-3,36.885165E-3,63.909988
3.135600E-3,38.251400E-3,63.953220
3.151680E-3,27.322376E-3,63.607391
3.167760E-3,23.224039E-3,63.477707
3.183840E-3,32.786947E-3,63.780308
3.199920E-3,30.054603E-3,63.693848
3.216000E-3,30.054603E-3,63.693848
3.232080E-3,27.322376E-3,63.607391
3.248160E-3,30.054603E-3,63.693848
3.264240E-3,27.322376E-3,63.607391
3.280320E-3,24.590151E-3,63.520935
3.296400E-3,23.224039E-3,63.477707
3.312480E-3,28.688490E-3,63.650620
3.328560E-3,32.786947E-3,63.780308
3.344640E-3,38.251400E-3,63.953220
3.360720E-3,35.519175E-3,63.866764
3.376800E-3,21.857925E-3,63.434479
3.392880E-3,28.688490E-3,63.650620
3.408960E-3,27.322376E-3,63.607391
3.425040E-3,28.688490E-3,63.650620
3.441120E-3,23.224039E-3,63.477707
3.457200E-3,27.322376E-3,63.607391
3.473280E-3,34.153063E-3,63.823536
3.489360E-3,36.885165E-3,63.909988
3.505440E-3,34.153063E-3,63.823536
3.521520E-3,25.956385E-3,63.564167
3.537600E-3,30.054603E-3,63.693848
3.553680E-3,21.857925E-3,63.434479
3.569760E-3,24.590151E-3,63.520935
3.585840E-3,27.322376E-3,63.607391
3.601920E-3,25.956385E-3,63.564167
3.618000E-3,27.322376E-3,63.607391
3.634080E-3,28.688490E-3,63.650620
3.650160E-3,31.420834E-3,63.737080
3.666240E-3,30.054603E-3,63.693848
3.682320E-3,17.759467E-3,63.304790
3.698400E-3,17.759467E-3,63.304790
3.714480E-3,34.153063E-3,63.823536
3.730560E-3,36.885165E-3,63.909988
3.746640E-3,32.786947E-3,63.780308
3.762720E-3,32.786947E-3,63.780308
3.778800E-3,25.956385E-3,63.564167
3.794880E-3,17.759467E-3,63.304790
3.810960E-3,12.295136E-3,63.131882
3.827040E-3,21.857925E-3,63.434479
3.843120E-3,42.349618E-3,64.082901
3.859200E-3,34.153063E-3,63.823536
3.875280E-3,28.688490E-3,63.650620
3.891360E-3,24.590151E-3,63.520935
3.907440E-3,25.956385E-3,63.564167
3.923520E-3,23.224039E-3,63.477707
3.939600E-3,21.857925E-3,63.434479
3.955680E-3,24.590151E-3,63.520935
3.971760E-3,23.224039E-3,63.477707
3.987840E-3,30.054603E-3,63.693848
4.003920E-3,24.590151E-3,63.520935
4.020000E-3,23.224039E-3,63.477707
4.036080E-3,23.224039E-3,63.477707
4.052160E-3,27.322376E-3,63.607391
4.068240E-3,31.420834E-3,63.737080
4.084320E-3,28.688490E-3,63.650620
4.100400E-3,31.420834E-3,63.737080
4.116480E-3,31.420834E-3,63.737080
4.132560E-3,31.420834E-3,63.737080
4.148640E-3,23.224039E-3,63.477707
4.164720E-3,13.661249E-3,63.175110
4.180800E-3,15.027361E-3,63.218338
4.196880E-3,12.295136E-3,63.131882
4.212960E-3,19.125700E-3,63.348022
4.229040E-3,27.322376E-3,63.607391
4.245120E-3,27.322376E-3,63.607391
4.261200E-3,13.661249E-3,63.175110
4.277280E-3,12.295136E-3,63.131882
4.293360E-3,15.027361E-3,63.218338
4.309440E-3,25.956385E-3,63.564167
4.325520E-3,24.590151E-3,63.520935
4.341600E-3,21.857925E-3,63.434479
4.357680E-3,25.956385E-3,63.564167
4.373760E-3,27.322376E-3,63.607391
4.389840E-3,17.759467E-3,63.304790
4.405920E-3,16.393354E-3,63.261562
4.422000E-3,21.857925E-3,63.434479
4.438080E-3,17.759467E-3,63.304790
4.454160E-3,20.491812E-3,63.391251
4.470240E-3,25.956385E-3,63.564167
4.486320E-3,31.420834E-3,63.737080
4.502400E-3,31.420834E-3,63.737080
4.518480E-3,20.491812E-3,63.391251
4.534560E-3,24.590151E-3,63.520935
4.550640E-3,23.224039E-3,63.477707
4.566720E-3,21.857925E-3,63.434479
4.582800E-3,17.759467E-3,63.304790
4.598880E-3,13.661249E-3,63.175110
4.614960E-3,16.393354E-3,63.261562
4.631040E-3,19.125700E-3,63.348022
4.647120E-3,28.688490E-3,63.650620
4.663200E-3,25.956385E-3,63.564167
4.679280E-3,17.759467E-3,63.304790
4.695360E-3,13.661249E-3,63.175110
4.711440E-3,23.224039E-3,63.477707
4.727520E-3,24.590151E-3,63.520935
4.743600E-3,28.688490E-3,63.650620
4.759680E-3,21.857925E-3,63.434479
4.775760E-3,17.759467E-3,63.304790
4.791840E-3,10.928903E-3,63.088650
4.807920E-3,19.125700E-3,63.348022
4.824000E-3,23.224039E-3,63.477707
4.840080E-3,5.464572E-3,62.915741
4.856160E-3,16.393354E-3,63.261562
4.872240E-3,27.322376E-3,63.607391
4.888320E-3,30.054603E-3,63.693848
4.904400E-3,23.224039E-3,63.477707
4.920480E-3,12.295136E-3,63.131882
4.936560E-3,8.196677E-3,63.002193
4.952640E-3,15.027361E-3,63.218338
4.968720E-3,23.224039E-3,63.477707
4.984800E-3,28.688490E-3,63.650620
5.000880E-3,25.956385E-3,63.564167
5.016960E-3,23.224039E-3,63.477707
5.033040E-3,12.295136E-3,63.131882
5.049120E-3,6.830684E-3,62.958969
5.065200E-3,15.027361E-3,63.218338
5.081280E-3,16.393354E-3,63.261562
5.097360E-3,15.027361E-3,63.218338
5.113440E-3,27.322376E-3,63.607391
5.129520E-3,24.590151E-3,63.520935
5.145600E-3,21.857925E-3,63.434479
5.161680E-3,12.295136E-3,63.131882
5.177760E-3,8.196677E-3,63.002193
5.193840E-3,13.661249E-3,63.175110
5.209920E-3,23.224039E-3,63.477707
5.226000E-3,20.491812E-3,63.391251
5.242080E-3,23.224039E-3,63.477707
5.258160E-3,25.956385E-3,63.564167
5.274240E-3,13.661249E-3,63.175110
5.290320E-3,10.928903E-3,63.088650
5.306400E-3,10.928903E-3,63.088650
5.322480E-3,13.661249E-3,63.175110
5.338560E-3,13.661249E-3,63.175110
5.354641E-3,27.322376E-3,63.607391
5.370720E-3,21.857925E-3,63.434479
5.386801E-3,15.027361E-3,63.218338
5.402880E-3,13.661249E-3,63.175110
5.418960E-3,19.125700E-3,63.348022
5.435040E-3,19.125700E-3,63.348022
5.451120E-3,15.027361E-3,63.218338
5.467200E-3,20.491812E-3,63.391251
5.483280E-3,28.688490E-3,63.650620
5.499360E-3,30.054603E-3,63.693848
5.515440E-3,27.322376E-3,63.607391
5.531520E-3,23.224039E-3,63.477707
5.547600E-3,20.491812E-3,63.391251
5.563681E-3,23.224039E-3,63.477707
5.579760E-3,21.857925E-3,63.434479
5.595841E-3,39.617512E-3,63.996449
5.611920E-3,42.349618E-3,64.082901
5.628000E-3,35.519175E-3,63.866764
5.644080E-3,27.322376E-3,63.607391
5.660160E-3,28.688490E-3,63.650620
5.676240E-3,30.054603E-3,63.693848
5.692320E-3,28.688490E-3,63.650620
5.708400E-3,31.420834E-3,63.737080
5.724480E-3,39.617512E-3,63.996449
5.740560E-3,43.715730E-3,64.126129
5.756640E-3,42.349618E-3,64.082901
5.772721E-3,36.885165E-3,63.909988
5.788800E-3,28.688490E-3,63.650620
5.804881E-3,30.054603E-3,63.693848
5.820960E-3,36.885165E-3,63.909988
5.837040E-3,38.251400E-3,63.953220
5.853120E-3,38.251400E-3,63.953220
5.869200E-3,39.617512E-3,63.996449
5.885280E-3,40.983506E-3,64.039673
5.901360E-3,40.983506E-3,64.039673
5.917440E-3,40.983506E-3,64.039673
5.933520E-3,39.617512E-3,63.996449
5.949600E-3,46.448197E-3,64.212593
5.965680E-3,45.082085E-3,64.169365
5.981761E-3,39.617512E-3,63.996449
5.997840E-3,39.617512E-3,63.996449
6.013921E-3,39.617512E-3,63.996449
6.030000E-3,45.082085E-3,64.169365
6.046080E-3,45.082085E-3,64.169365
6.062160E-3,49.180422E-3,64.299049
6.078240E-3,46.448197E-3,64.212593
6.094320E-3,46.448197E-3,64.212593
6.110400E-3,53.278763E-3,64.428734
6.126480E-3,45.082085E-3,64.169365
6.142560E-3,39.617512E-3,63.996449
6.158640E-3,42.349618E-3,64.082901
6.174720E-3,49.180422E-3,64.299049
6.190801E-3,51.912647E-3,64.385506
6.206880E-3,43.715730E-3,64.126129
6.222961E-3,46.448197E-3,64.212593
6.239040E-3,57.377100E-3,64.558418
6.255121E-3,46.448197E-3,64.212593
6.271200E-3,49.180422E-3,64.299049
6.287280E-3,47.814310E-3,64.255821
6.303360E-3,45.082085E-3,64.169365
6.319440E-3,50.546296E-3,64.342270
6.335520E-3,49.180422E-3,64.299049
6.351600E-3,50.546296E-3,64.342270
6.367680E-3,58.743212E-3,64.601646
6.383760E-3,53.278763E-3,64.428734
6.399841E-3,54.644875E-3,64.471962
6.415920E-3,46.448197E-3,64.212593
6.432001E-3,47.814310E-3,64.255821
6.448080E-3,49.180422E-3,64.299049
6.464161E-3,49.180422E-3,64.299049
6.480240E-3,54.644875E-3,64.471962
6.496320E-3,57.377100E-3,64.558418
6.512400E-3,56.010988E-3,64.515190
6.528480E-3,50.546296E-3,64.342270
6.544560E-3,47.814310E-3,64.255821
6.560640E-3,56.010988E-3,64.515190
6.576720E-3,62.841550E-3,64.731331
6.592800E-3,60.109325E-3,64.644875
6.608881E-3,56.010988E-3,64.515190
6.624960E-3,58.743212E-3,64.601646
6.641041E-3,58.743212E-3,64.601646
6.657120E-3,49.180422E-3,64.299049
6.673201E-3,54.644875E-3,64.471962
6.689280E-3,50.546296E-3,64.342270
6.705360E-3,49.180422E-3,64.299049
6.721440E-3,51.912647E-3,64.385506
6.737520E-3,58.743212E-3,64.601646
6.753600E-3,60.109325E-3,64.644875
6.769680E-3,58.743212E-3,64.601646
6.785760E-3,58.743212E-3,64.601646
6.801840E-3,56.010988E-3,64.515190
6.817921E-3,69.672115E-3,64.947472
6.834000E-3,75.136565E-3,65.120384
6.850081E-3,71.038231E-3,64.990700
6.866160E-3,58.743212E-3,64.601646
6.882241E-3,49.180422E-3,64.299049
6.898320E-3,60.109325E-3,64.644875
6.914400E-3,57.377100E-3,64.558418
6.930480E-3,49.180422E-3,64.299049
6.946560E-3,54.644875E-3,64.471962
6.962640E-3,60.109325E-3,64.644875
6.978720E-3,54.644875E-3,64.471962
6.994800E-3,62.841550E-3,64.731331
7.010880E-3,64.207666E-3,64.774559
7.026961E-3,58.743212E-3,64.601646
7.043040E-3,49.180422E-3,64.299049
7.059121E-3,57.377100E-3,64.558418
7.075200E-3,57.377100E-3,64.558418
7.091281E-3,58.743212E-3,64.601646
7.107360E-3,60.109325E-3,64.644875
7.123441E-3,65.573774E-3,64.817787
7.139520E-3,66.939890E-3,64.861015
7.155600E-3,62.841550E-3,64.731331
7.171680E-3,56.010988E-3,64.515190
7.187760E-3,49.180422E-3,64.299049
7.203841E-3,54.644875E-3,64.471962
7.219920E-3,60.109325E-3,64.644875
7.236001E-3,61.475437E-3,64.688103
7.252080E-3,56.010988E-3,64.515190
7.268161E-3,58.743212E-3,64.601646
7.284240E-3,72.404340E-3,65.033928
7.300321E-3,69.672115E-3,64.947472
7.316400E-3,71.038231E-3,64.990700
7.332481E-3,72.404340E-3,65.033928
7.348560E-3,66.939890E-3,64.861015
7.364640E-3,51.912647E-3,64.385506
7.380720E-3,49.180422E-3,64.299049
7.396800E-3,65.573774E-3,64.817787
7.412881E-3,60.109325E-3,64.644875
7.428960E-3,57.377100E-3,64.558418
7.445041E-3,51.912647E-3,64.385506
7.461120E-3,53.278763E-3,64.428734
7.477201E-3,60.109325E-3,64.644875
7.493280E-3,60.109325E-3,64.644875
7.509361E-3,61.475437E-3,64.688103
7.525440E-3,54.644875E-3,64.471962
7.541521E-3,61.475437E-3,64.688103
7.557600E-3,57.377100E-3,64.558418
7.573680E-3,62.841550E-3,64.731331
7.589760E-3,62.841550E-3,64.731331
7.605840E-3,68.305999E-3,64.904243
7.621921E-3,79.235144E-3,65.250076
7.638000E-3,61.475437E-3,64.688103
7.654081E-3,50.546296E-3,64.342270
7.670160E-3,57.377100E-3,64.558418
7.686241E-3,65.573774E-3,64.817787
7.702320E-3,64.207666E-3,64.774559
7.718401E-3,61.475437E-3,64.688103
7.734480E-3,49.180422E-3,64.299049
7.750561E-3,58.743212E-3,64.601646
7.766640E-3,57.377100E-3,64.558418
7.782720E-3,54.644875E-3,64.471962
7.798800E-3,53.278763E-3,64.428734
7.814880E-3,65.573774E-3,64.817787
7.830961E-3,69.672115E-3,64.947472
7.847041E-3,71.038231E-3,64.990700
7.863120E-3,68.305999E-3,64.904243
7.879200E-3,66.939890E-3,64.861015
7.895281E-3,58.743212E-3,64.601646
7.911361E-3,57.377100E-3,64.558418
7.927440E-3,58.743212E-3,64.601646
7.943520E-3,71.038231E-3,64.990700
7.959601E-3,72.404340E-3,65.033928
7.975681E-3,66.939890E-3,64.861015
7.991760E-3,68.305999E-3,64.904243
8.007840E-3,61.475437E-3,64.688103
8.023920E-3,51.912647E-3,64.385506
8.040001E-3,56.010988E-3,64.515190
8.056081E-3,58.743212E-3,64.601646
8.072160E-3,58.743212E-3,64.601646
8.088240E-3,58.743212E-3,64.601646
8.104321E-3,72.404340E-3,65.033928
8.120401E-3,68.305999E-3,64.904243
8.136480E-3,61.475437E-3,64.688103
8.152560E-3,53.278763E-3,64.428734
8.168641E-3,49.180422E-3,64.299049
