Start,FFFFFF,
End,929292,
,,
x,y,Luminance
0.000000E+0,980.684817E-3,124.600853
16.080001E-6,984.196603E-3,124.946671
32.160002E-6,986.391425E-3,125.162804
48.240003E-6,983.318627E-3,124.860214
64.320004E-6,983.318627E-3,124.860214
80.400001E-6,985.952437E-3,125.119576
96.480006E-6,986.830413E-3,125.206032
112.560010E-6,984.635592E-3,124.989899
128.640007E-6,987.269402E-3,125.249260
144.720005E-6,983.318627E-3,124.860214
160.800002E-6,985.513449E-3,125.076347
176.880014E-6,984.635592E-3,124.989899
192.960011E-6,983.318627E-3,124.860214
209.040008E-6,982.001662E-3,124.730530
225.120020E-6,982.440650E-3,124.773758
241.200018E-6,983.757615E-3,124.903442
257.280015E-6,980.684817E-3,124.600853
273.360027E-6,983.757615E-3,124.903442
289.440010E-6,983.318627E-3,124.860214
305.520021E-6,981.562674E-3,124.687302
321.600004E-6,982.001662E-3,124.730530
337.680016E-6,982.001662E-3,124.730530
353.760028E-6,984.196603E-3,124.946671
369.840011E-6,984.635592E-3,124.989899
385.920022E-6,979.806721E-3,124.514389
402.000034E-6,981.123805E-3,124.644081
418.080017E-6,982.440650E-3,124.773758
434.160029E-6,981.123805E-3,124.644081
450.240041E-6,981.123805E-3,124.644081
466.320023E-6,982.879639E-3,124.816986
482.400035E-6,983.318627E-3,124.860214
498.480047E-6,983.757615E-3,124.903442
514.560030E-6,984.635592E-3,124.989899
530.640013E-6,984.635592E-3,124.989899
546.720054E-6,983.757615E-3,124.903442
562.800036E-6,984.196603E-3,124.946671
578.880019E-6,982.879639E-3,124.816986
594.960060E-6,982.001662E-3,124.730530
611.040043E-6,983.318627E-3,124.860214
627.120025E-6,983.757615E-3,124.903442
643.200008E-6,984.196603E-3,124.946671
659.280049E-6,983.757615E-3,124.903442
675.360032E-6,982.879639E-3,124.816986
691.440015E-6,982.001662E-3,124.730530
707.520056E-6,983.757615E-3,124.903442
723.600038E-6,983.757615E-3,124.903442
739.680021E-6,983.757615E-3,124.903442
755.760062E-6,984.196603E-3,124.946671
771.840045E-6,981.123805E-3,124.644081
787.920028E-6,982.001662E-3,124.730530
804.000068E-6,982.879639E-3,124.816986
820.080051E-6,983.318627E-3,124.860214
836.160034E-6,982.879639E-3,124.816986
852.240075E-6,982.879639E-3,124.816986
868.320058E-6,981.123805E-3,124.644081
884.400040E-6,984.635592E-3,124.989899
900.480081E-6,980.684817E-3,124.600853
916.560064E-6,981.562674E-3,124.687302
932.640047E-6,979.367733E-3,124.471161
948.720030E-6,979.806721E-3,124.514389
964.800071E-6,982.001662E-3,124.730530
980.880111E-6,982.001662E-3,124.730530
996.960094E-6,982.440650E-3,124.773758
1.013040E-3,978.928745E-3,124.427933
1.029120E-3,980.245829E-3,124.557625
1.045200E-3,983.757615E-3,124.903442
1.061280E-3,984.196603E-3,124.946671
1.077360E-3,980.684817E-3,124.600853
1.093440E-3,982.879639E-3,124.816986
1.109520E-3,981.562674E-3,124.687302
1.125600E-3,981.562674E-3,124.687302
1.141680E-3,980.245829E-3,124.557625
1.157760E-3,981.123805E-3,124.644081
1.173840E-3,980.245829E-3,124.557625
1.189920E-3,982.001662E-3,124.730530
1.206000E-3,983.318627E-3,124.860214
