Start,DBDBDB,
End,494949,
,,
x,y,Luminance
0.000000E+0,971.546650E-3,91.488388
16.080001E-6,972.923458E-3,91.618073
32.160002E-6,972.005546E-3,91.531616
48.240003E-6,973.382354E-3,91.661301
64.320004E-6,973.382354E-3,91.661301
80.400001E-6,976.135850E-3,91.920662
96.480006E-6,973.841310E-3,91.704529
112.560010E-6,972.005546E-3,91.531616
128.640007E-6,971.087694E-3,91.445160
144.720005E-6,971.546650E-3,91.488388
160.800002E-6,971.087694E-3,91.445160
176.880014E-6,972.464502E-3,91.574844
192.960011E-6,973.841310E-3,91.704529
209.040008E-6,976.135850E-3,91.920662
225.120020E-6,973.841310E-3,91.704529
241.200018E-6,970.628798E-3,91.401932
257.280015E-6,970.628798E-3,91.401932
273.360027E-6,970.169961E-3,91.358711
289.440010E-6,972.005546E-3,91.531616
305.520021E-6,973.382354E-3,91.661301
321.600004E-6,971.546650E-3,91.488388
337.680016E-6,974.759102E-3,91.790977
353.760028E-6,974.300146E-3,91.747749
369.840011E-6,971.546650E-3,91.488388
385.920022E-6,971.087694E-3,91.445160
402.000034E-6,972.005546E-3,91.531616
418.080017E-6,976.594806E-3,91.963890
434.160029E-6,976.135850E-3,91.920662
450.240041E-6,971.087694E-3,91.445160
466.320023E-6,972.923458E-3,91.618073
482.400035E-6,970.169961E-3,91.358711
498.480047E-6,970.628798E-3,91.401932
514.560030E-6,970.169961E-3,91.358711
530.640013E-6,971.087694E-3,91.445160
546.720054E-6,973.382354E-3,91.661301
562.800036E-6,970.628798E-3,91.401932
578.880019E-6,972.464502E-3,91.574844
594.960060E-6,973.382354E-3,91.661301
611.040043E-6,974.300146E-3,91.747749
627.120025E-6,972.923458E-3,91.618073
643.200008E-6,973.382354E-3,91.661301
659.280049E-6,973.382354E-3,91.661301
675.360032E-6,975.676954E-3,91.877434
691.440015E-6,971.546650E-3,91.488388
707.520056E-6,974.300146E-3,91.747749
723.600038E-6,974.759102E-3,91.790977
739.680021E-6,974.759102E-3,91.790977
755.760062E-6,971.546650E-3,91.488388
771.840045E-6,969.711006E-3,91.315483
787.920028E-6,970.169961E-3,91.358711
804.000068E-6,971.087694E-3,91.445160
820.080051E-6,972.005546E-3,91.531616
836.160034E-6,972.005546E-3,91.531616
852.240075E-6,970.628798E-3,91.401932
