Start,B6B6B6,
End,494949,
,,
x,y,Luminance
0.000000E+0,978.217840E-3,63.951397
16.080001E-6,981.518209E-3,64.167534
32.160002E-6,979.537964E-3,64.037849
48.240003E-6,980.858088E-3,64.124306
64.320004E-6,981.518209E-3,64.167534
80.400001E-6,980.198026E-3,64.081078
96.480006E-6,978.217840E-3,63.951397
112.560010E-6,974.917471E-3,63.735260
128.640007E-6,976.897657E-3,63.864941
144.720005E-6,982.178271E-3,64.210762
160.800002E-6,982.838333E-3,64.253990
176.880014E-6,980.198026E-3,64.081078
192.960011E-6,975.577593E-3,63.778488
209.040008E-6,974.917471E-3,63.735260
225.120020E-6,979.537964E-3,64.037849
241.200018E-6,980.198026E-3,64.081078
257.280015E-6,979.537964E-3,64.037849
273.360027E-6,982.838333E-3,64.253990
289.440010E-6,978.877842E-3,63.994621
305.520021E-6,979.537964E-3,64.037849
321.600004E-6,978.217840E-3,63.951397
337.680016E-6,979.537964E-3,64.037849
353.760028E-6,981.518209E-3,64.167534
369.840011E-6,978.217840E-3,63.951397
385.920022E-6,978.877842E-3,63.994621
402.000034E-6,982.178271E-3,64.210762
418.080017E-6,981.518209E-3,64.167534
434.160029E-6,978.877842E-3,63.994621
450.240041E-6,975.577593E-3,63.778488
466.320023E-6,980.858088E-3,64.124306
482.400035E-6,978.217840E-3,63.951397
498.480047E-6,976.237595E-3,63.821712
514.560030E-6,980.198026E-3,64.081078
530.640013E-6,979.537964E-3,64.037849
546.720054E-6,982.178271E-3,64.210762
562.800036E-6,978.877842E-3,63.994621
578.880019E-6,975.577593E-3,63.778488
594.960060E-6,976.897657E-3,63.864941
611.040043E-6,976.897657E-3,63.864941
627.120025E-6,980.198026E-3,64.081078
643.200008E-6,978.217840E-3,63.951397
659.280049E-6,977.557778E-3,63.908169
675.360032E-6,978.217840E-3,63.951397
691.440015E-6,979.537964E-3,64.037849
707.520056E-6,979.537964E-3,64.037849
723.600038E-6,981.518209E-3,64.167534
739.680021E-6,978.877842E-3,63.994621
755.760062E-6,976.897657E-3,63.864941
771.840045E-6,980.198026E-3,64.081078
787.920028E-6,982.178271E-3,64.210762
804.000068E-6,985.478461E-3,64.426888
820.080051E-6,976.897657E-3,63.864941
836.160034E-6,972.937226E-3,63.605576
852.240075E-6,973.597348E-3,63.648804
