Start,B6B6B6,
End,000000,
,,
x,y,Luminance
0.000000E+0,975.942791E-3,64.168449
16.080001E-6,977.243185E-3,64.254906
32.160002E-6,975.292563E-3,64.125221
48.240003E-6,977.893293E-3,64.298126
64.320004E-6,977.243185E-3,64.254906
80.400001E-6,972.041607E-3,63.909081
96.480006E-6,980.494082E-3,64.471039
112.560010E-6,983.745098E-3,64.687180
128.640007E-6,981.794477E-3,64.557495
144.720005E-6,977.893293E-3,64.298126
160.800002E-6,982.444704E-3,64.600723
176.880014E-6,984.395266E-3,64.730408
192.960011E-6,983.745098E-3,64.687180
209.040008E-6,981.794477E-3,64.557495
225.120020E-6,983.094871E-3,64.643951
241.200018E-6,984.395266E-3,64.730408
257.280015E-6,987.646163E-3,64.946541
273.360027E-6,990.247071E-3,65.119461
289.440010E-6,986.996114E-3,64.903320
305.520021E-6,978.543460E-3,64.341354
321.600004E-6,983.094871E-3,64.643951
337.680016E-6,980.494082E-3,64.471039
353.760028E-6,979.193687E-3,64.384583
369.840011E-6,986.345887E-3,64.860092
385.920022E-6,988.946557E-3,65.032997
402.000034E-6,987.646163E-3,64.946541
418.080017E-6,986.996114E-3,64.903320
434.160029E-6,981.794477E-3,64.557495
450.240041E-6,977.893293E-3,64.298126
466.320023E-6,980.494082E-3,64.471039
482.400035E-6,984.395266E-3,64.730408
498.480047E-6,988.946557E-3,65.032997
514.560030E-6,988.296390E-3,64.989769
530.640013E-6,983.094871E-3,64.643951
546.720054E-6,981.794477E-3,64.557495
562.800036E-6,983.745098E-3,64.687180
578.880019E-6,983.745098E-3,64.687180
594.960060E-6,985.045493E-3,64.773636
611.040043E-6,991.547406E-3,65.205910
627.120025E-6,993.497968E-3,65.335594
643.200008E-6,989.596784E-3,65.076225
659.280049E-6,989.596784E-3,65.076225
675.360032E-6,988.946557E-3,65.032997
691.440015E-6,990.247071E-3,65.119461
707.520056E-6,983.745098E-3,64.687180
723.600038E-6,981.144309E-3,64.514267
739.680021E-6,985.695720E-3,64.816864
755.760062E-6,991.547406E-3,65.205910
771.840045E-6,990.897298E-3,65.162689
787.920028E-6,990.247071E-3,65.119461
804.000068E-6,990.897298E-3,65.162689
820.080051E-6,989.596784E-3,65.076225
836.160034E-6,990.897298E-3,65.162689
852.240075E-6,995.448589E-3,65.465279
868.320058E-6,991.547406E-3,65.205910
884.400040E-6,987.646163E-3,64.946541
900.480081E-6,986.996114E-3,64.903320
916.560064E-6,988.946557E-3,65.032997
932.640047E-6,992.197573E-3,65.249138
948.720030E-6,988.946557E-3,65.032997
964.800071E-6,990.247071E-3,65.119461
980.880111E-6,992.847800E-3,65.292366
996.960094E-6,993.497968E-3,65.335594
1.013040E-3,989.596784E-3,65.076225
1.029120E-3,986.996114E-3,64.903320
1.045200E-3,989.596784E-3,65.076225
1.061280E-3,992.847800E-3,65.292366
1.077360E-3,995.448589E-3,65.465279
1.093440E-3,988.946557E-3,65.032997
1.109520E-3,994.798422E-3,65.422050
1.125600E-3,990.247071E-3,65.119461
1.141680E-3,990.247071E-3,65.119461
1.157760E-3,990.247071E-3,65.119461
1.173840E-3,989.596784E-3,65.076225
1.189920E-3,992.197573E-3,65.249138
1.206000E-3,994.798422E-3,65.422050
1.222080E-3,996.748984E-3,65.551735
1.238160E-3,990.897298E-3,65.162689
1.254240E-3,995.448589E-3,65.465279
1.270320E-3,995.448589E-3,65.465279
1.286400E-3,990.247071E-3,65.119461
1.302480E-3,990.897298E-3,65.162689
1.318560E-3,991.547406E-3,65.205910
1.334640E-3,996.098816E-3,65.508507
1.350720E-3,995.448589E-3,65.465279
1.366800E-3,992.847800E-3,65.292366
1.382880E-3,992.197573E-3,65.249138
1.398960E-3,991.547406E-3,65.205910
1.415040E-3,990.897298E-3,65.162689
1.431120E-3,992.197573E-3,65.249138
1.447200E-3,991.547406E-3,65.205910
1.463280E-3,989.596784E-3,65.076225
1.479360E-3,994.148195E-3,65.378822
1.495440E-3,995.448589E-3,65.465279
1.511520E-3,994.798422E-3,65.422050
1.527600E-3,992.197573E-3,65.249138
1.543680E-3,990.897298E-3,65.162689
1.559760E-3,992.847800E-3,65.292366
1.575840E-3,996.748984E-3,65.551735
1.591920E-3,996.098816E-3,65.508507
1.608000E-3,994.148195E-3,65.378822
1.624080E-3,991.547406E-3,65.205910
1.640160E-3,992.197573E-3,65.249138
1.656240E-3,990.897298E-3,65.162689
1.672320E-3,994.798422E-3,65.422050
1.688400E-3,994.798422E-3,65.422050
1.704480E-3,996.098816E-3,65.508507
1.720560E-3,999.349773E-3,65.724648
1.736640E-3,995.448589E-3,65.465279
1.752720E-3,994.148195E-3,65.378822
1.768800E-3,992.847800E-3,65.292366
1.784880E-3,988.296390E-3,64.989769
1.800960E-3,992.847800E-3,65.292366
1.817040E-3,995.448589E-3,65.465279
1.833120E-3,994.798422E-3,65.422050
1.849200E-3,990.247071E-3,65.119461
1.865280E-3,991.547406E-3,65.205910
1.881360E-3,994.148195E-3,65.378822
1.897440E-3,990.247071E-3,65.119461
1.913520E-3,994.148195E-3,65.378822
1.929600E-3,994.798422E-3,65.422050
1.945680E-3,994.148195E-3,65.378822
1.961760E-3,997.399211E-3,65.594963
1.977840E-3,998.049378E-3,65.638191
1.993920E-3,997.399211E-3,65.594963
2.010000E-3,994.798422E-3,65.422050
2.026080E-3,992.197573E-3,65.249138
2.042160E-3,994.798422E-3,65.422050
2.058240E-3,993.497968E-3,65.335594
2.074320E-3,994.148195E-3,65.378822
2.090400E-3,996.748984E-3,65.551735
2.106480E-3,996.748984E-3,65.551735
2.122560E-3,996.748984E-3,65.551735
2.138640E-3,992.847800E-3,65.292366
2.154720E-3,992.847800E-3,65.292366
2.170800E-3,996.748984E-3,65.551735
2.186880E-3,994.798422E-3,65.422050
2.202960E-3,997.399211E-3,65.594963
2.219040E-3,995.448589E-3,65.465279
2.235120E-3,995.448589E-3,65.465279
2.251200E-3,998.699605E-3,65.681419
2.267280E-3,996.748984E-3,65.551735
2.283360E-3,995.448589E-3,65.465279
2.299440E-3,994.148195E-3,65.378822
2.315520E-3,996.098816E-3,65.508507
2.331600E-3,994.798422E-3,65.422050
2.347680E-3,998.049378E-3,65.638191
2.363760E-3,994.148195E-3,65.378822
2.379840E-3,991.547406E-3,65.205910
2.395920E-3,991.547406E-3,65.205910
2.412000E-3,992.197573E-3,65.249138
2.428080E-3,995.448589E-3,65.465279
2.444160E-3,996.098816E-3,65.508507
2.460240E-3,992.847800E-3,65.292366
2.476320E-3,996.098816E-3,65.508507
2.492400E-3,998.049378E-3,65.638191
2.508480E-3,994.798422E-3,65.422050
2.524560E-3,992.197573E-3,65.249138
2.540640E-3,992.197573E-3,65.249138
2.556720E-3,992.847800E-3,65.292366
2.572800E-3,990.897298E-3,65.162689
2.588880E-3,995.448589E-3,65.465279
2.604960E-3,998.699605E-3,65.681419
2.621040E-3,996.748984E-3,65.551735
2.637120E-3,992.847800E-3,65.292366
2.653200E-3,992.847800E-3,65.292366
2.669280E-3,992.847800E-3,65.292366
2.685360E-3,990.897298E-3,65.162689
2.701440E-3,993.497968E-3,65.335594
2.717520E-3,993.497968E-3,65.335594
2.733600E-3,998.049378E-3,65.638191
2.749680E-3,994.798422E-3,65.422050
2.765760E-3,994.148195E-3,65.378822
2.781840E-3,991.547406E-3,65.205910
2.797920E-3,992.197573E-3,65.249138
2.814000E-3,992.847800E-3,65.292366
2.830080E-3,998.049378E-3,65.638191
2.846160E-3,997.399211E-3,65.594963
2.862240E-3,992.847800E-3,65.292366
2.878320E-3,994.148195E-3,65.378822
2.894400E-3,995.448589E-3,65.465279
2.910480E-3,992.847800E-3,65.292366
2.926560E-3,992.847800E-3,65.292366
2.942640E-3,994.148195E-3,65.378822
2.958720E-3,990.247071E-3,65.119461
2.974800E-3,994.148195E-3,65.378822
2.990880E-3,998.699605E-3,65.681419
3.006960E-3,997.399211E-3,65.594963
3.023040E-3,992.847800E-3,65.292366
3.039120E-3,993.497968E-3,65.335594
3.055200E-3,992.847800E-3,65.292366
3.071280E-3,997.399211E-3,65.594963
3.087360E-3,998.049378E-3,65.638191
3.103440E-3,994.798422E-3,65.422050
3.119520E-3,995.448589E-3,65.465279
3.135600E-3,994.148195E-3,65.378822
3.151680E-3,992.847800E-3,65.292366
3.167760E-3,990.247071E-3,65.119461
3.183840E-3,989.596784E-3,65.076225
3.199920E-3,992.197573E-3,65.249138
3.216000E-3,992.197573E-3,65.249138
3.232080E-3,996.098816E-3,65.508507
3.248160E-3,1.000000E+0,65.767876
3.264240E-3,996.098816E-3,65.508507
3.280320E-3,994.148195E-3,65.378822
3.296400E-3,996.098816E-3,65.508507
3.312480E-3,996.098816E-3,65.508507
3.328560E-3,992.847800E-3,65.292366
3.344640E-3,992.847800E-3,65.292366
3.360720E-3,994.798422E-3,65.422050
3.376800E-3,990.247071E-3,65.119461
3.392880E-3,997.399211E-3,65.594963
3.408960E-3,998.699605E-3,65.681419
3.425040E-3,996.748984E-3,65.551735
3.441120E-3,994.148195E-3,65.378822
3.457200E-3,990.247071E-3,65.119461
3.473280E-3,992.847800E-3,65.292366
3.489360E-3,990.247071E-3,65.119461
3.505440E-3,994.148195E-3,65.378822
3.521520E-3,994.798422E-3,65.422050
3.537600E-3,989.596784E-3,65.076225
3.553680E-3,992.197573E-3,65.249138
3.569760E-3,992.197573E-3,65.249138
3.585840E-3,993.497968E-3,65.335594
3.601920E-3,994.148195E-3,65.378822
3.618000E-3,990.247071E-3,65.119461
3.634080E-3,998.049378E-3,65.638191
3.650160E-3,994.798422E-3,65.422050
3.666240E-3,988.946557E-3,65.032997
3.682320E-3,986.345887E-3,64.860092
3.698400E-3,988.296390E-3,64.989769
3.714480E-3,990.897298E-3,65.162689
3.730560E-3,992.197573E-3,65.249138
3.746640E-3,993.497968E-3,65.335594
3.762720E-3,992.847800E-3,65.292366
3.778800E-3,991.547406E-3,65.205910
3.794880E-3,991.547406E-3,65.205910
3.810960E-3,993.497968E-3,65.335594
3.827040E-3,990.247071E-3,65.119461
3.843120E-3,994.148195E-3,65.378822
3.859200E-3,993.497968E-3,65.335594
3.875280E-3,992.197573E-3,65.249138
3.891360E-3,990.897298E-3,65.162689
3.907440E-3,990.897298E-3,65.162689
3.923520E-3,992.197573E-3,65.249138
3.939600E-3,992.847800E-3,65.292366
3.955680E-3,992.847800E-3,65.292366
3.971760E-3,992.847800E-3,65.292366
3.987840E-3,991.547406E-3,65.205910
4.003920E-3,992.197573E-3,65.249138
4.020000E-3,993.497968E-3,65.335594
4.036080E-3,992.847800E-3,65.292366
4.052160E-3,990.897298E-3,65.162689
4.068240E-3,988.296390E-3,64.989769
4.084320E-3,991.547406E-3,65.205910
4.100400E-3,991.547406E-3,65.205910
4.116480E-3,992.197573E-3,65.249138
4.132560E-3,989.596784E-3,65.076225
4.148640E-3,992.847800E-3,65.292366
4.164720E-3,990.897298E-3,65.162689
4.180800E-3,986.345887E-3,64.860092
4.196880E-3,986.345887E-3,64.860092
4.212960E-3,992.197573E-3,65.249138
4.229040E-3,988.296390E-3,64.989769
4.245120E-3,990.247071E-3,65.119461
4.261200E-3,994.798422E-3,65.422050
4.277280E-3,995.448589E-3,65.465279
4.293360E-3,988.946557E-3,65.032997
