Start,B6B6B6,
End,929292,
,,
x,y,Luminance
0.000000E+0,958.571374E-3,64.296288
16.080001E-6,954.285741E-3,64.166611
32.160002E-6,962.857246E-3,64.425972
48.240003E-6,977.142751E-3,64.858231
64.320004E-6,975.714147E-3,64.815002
80.400001E-6,962.857246E-3,64.425972
96.480006E-6,955.714345E-3,64.209839
112.560010E-6,965.714216E-3,64.512421
128.640007E-6,954.285741E-3,64.166611
144.720005E-6,954.285741E-3,64.166611
160.800002E-6,958.571374E-3,64.296288
176.880014E-6,951.428473E-3,64.080154
192.960011E-6,951.428473E-3,64.080154
209.040008E-6,961.428642E-3,64.382744
225.120020E-6,959.999979E-3,64.339516
241.200018E-6,955.714345E-3,64.209839
257.280015E-6,958.571374E-3,64.296288
273.360027E-6,962.857246E-3,64.425972
289.440010E-6,955.714345E-3,64.209839
305.520021E-6,949.999869E-3,64.036926
321.600004E-6,955.714345E-3,64.209839
337.680016E-6,964.285851E-3,64.469200
353.760028E-6,961.428642E-3,64.382744
369.840011E-6,949.999869E-3,64.036926
385.920022E-6,955.714345E-3,64.209839
402.000034E-6,957.142711E-3,64.253059
418.080017E-6,955.714345E-3,64.209839
434.160029E-6,958.571374E-3,64.296288
450.240041E-6,955.714345E-3,64.209839
466.320023E-6,961.428642E-3,64.382744
482.400035E-6,957.142711E-3,64.253059
498.480047E-6,962.857246E-3,64.425972
514.560030E-6,955.714345E-3,64.209839
530.640013E-6,955.714345E-3,64.209839
546.720054E-6,961.428642E-3,64.382744
562.800036E-6,954.285741E-3,64.166611
578.880019E-6,952.857137E-3,64.123383
594.960060E-6,961.428642E-3,64.382744
611.040043E-6,962.857246E-3,64.425972
627.120025E-6,954.285741E-3,64.166611
643.200008E-6,954.285741E-3,64.166611
659.280049E-6,955.714345E-3,64.209839
675.360032E-6,951.428473E-3,64.080154
691.440015E-6,952.857137E-3,64.123383
707.520056E-6,959.999979E-3,64.339516
723.600038E-6,948.571384E-3,63.993702
739.680021E-6,944.285750E-3,63.864025
755.760062E-6,945.714355E-3,63.907253
771.840045E-6,957.142711E-3,64.253059
787.920028E-6,955.714345E-3,64.209839
804.000068E-6,962.857246E-3,64.425972
820.080051E-6,948.571384E-3,63.993702
836.160034E-6,952.857137E-3,64.123383
852.240075E-6,954.285741E-3,64.166611
868.320058E-6,958.571374E-3,64.296288
884.400040E-6,945.714355E-3,63.907253
900.480081E-6,948.571384E-3,63.993702
916.560064E-6,957.142711E-3,64.253059
932.640047E-6,959.999979E-3,64.339516
948.720030E-6,952.857137E-3,64.123383
964.800071E-6,949.999869E-3,64.036926
980.880111E-6,954.285741E-3,64.166611
996.960094E-6,959.999979E-3,64.339516
1.013040E-3,939.999998E-3,63.734344
1.029120E-3,948.571384E-3,63.993702
1.045200E-3,947.142720E-3,63.950474
1.061280E-3,949.999869E-3,64.036926
1.077360E-3,955.714345E-3,64.209839
1.093440E-3,952.857137E-3,64.123383
1.109520E-3,948.571384E-3,63.993702
1.125600E-3,952.857137E-3,64.123383
1.141680E-3,955.714345E-3,64.209839
1.157760E-3,955.714345E-3,64.209839
1.173840E-3,945.714355E-3,63.907253
1.189920E-3,947.142720E-3,63.950474
1.206000E-3,954.285741E-3,64.166611
