Start,DBDBDB,
End,929292,
,,
x,y,Luminance
0.000000E+0,970.857501E-3,89.768272
16.080001E-6,974.188209E-3,89.941208
32.160002E-6,968.359649E-3,89.638580
48.240003E-6,970.025063E-3,89.725052
64.320004E-6,975.020766E-3,89.984436
80.400001E-6,974.188209E-3,89.941208
96.480006E-6,973.355651E-3,89.897980
112.560010E-6,972.522914E-3,89.854744
128.640007E-6,972.522914E-3,89.854744
144.720005E-6,975.853443E-3,90.027672
160.800002E-6,973.355651E-3,89.897980
176.880014E-6,973.355651E-3,89.897980
192.960011E-6,968.359649E-3,89.638580
209.040008E-6,968.359649E-3,89.638580
225.120020E-6,970.025063E-3,89.725052
241.200018E-6,975.853443E-3,90.027672
257.280015E-6,976.686060E-3,90.070900
273.360027E-6,972.522914E-3,89.854744
289.440010E-6,972.522914E-3,89.854744
305.520021E-6,969.192207E-3,89.681808
321.600004E-6,965.861678E-3,89.508881
337.680016E-6,965.029120E-3,89.465652
353.760028E-6,969.192207E-3,89.681808
369.840011E-6,974.188209E-3,89.941208
385.920022E-6,978.351295E-3,90.157364
402.000034E-6,975.853443E-3,90.027672
418.080017E-6,965.029120E-3,89.465652
434.160029E-6,964.196563E-3,89.422424
450.240041E-6,969.192207E-3,89.681808
466.320023E-6,978.351295E-3,90.157364
482.400035E-6,976.686060E-3,90.070900
498.480047E-6,969.192207E-3,89.681808
514.560030E-6,972.522914E-3,89.854744
530.640013E-6,965.861678E-3,89.508881
546.720054E-6,965.029120E-3,89.465652
562.800036E-6,968.359649E-3,89.638580
578.880019E-6,971.690357E-3,89.811516
594.960060E-6,976.686060E-3,90.070900
611.040043E-6,975.020766E-3,89.984436
627.120025E-6,974.188209E-3,89.941208
643.200008E-6,970.025063E-3,89.725052
659.280049E-6,968.359649E-3,89.638580
675.360032E-6,973.355651E-3,89.897980
691.440015E-6,970.025063E-3,89.725052
707.520056E-6,965.861678E-3,89.508881
723.600038E-6,968.359649E-3,89.638580
739.680021E-6,971.690357E-3,89.811516
755.760062E-6,970.857501E-3,89.768272
771.840045E-6,968.359649E-3,89.638580
787.920028E-6,967.526972E-3,89.595345
804.000068E-6,967.526972E-3,89.595345
820.080051E-6,972.522914E-3,89.854744
836.160034E-6,969.192207E-3,89.681808
852.240075E-6,966.694415E-3,89.552116
868.320058E-6,965.861678E-3,89.508881
884.400040E-6,974.188209E-3,89.941208
900.480081E-6,973.355651E-3,89.897980
916.560064E-6,965.861678E-3,89.508881
932.640047E-6,973.355651E-3,89.897980
948.720030E-6,968.359649E-3,89.638580
964.800071E-6,970.025063E-3,89.725052
980.880111E-6,975.853443E-3,90.027672
996.960094E-6,972.522914E-3,89.854744
1.013040E-3,971.690357E-3,89.811516
1.029120E-3,970.025063E-3,89.725052
1.045200E-3,970.025063E-3,89.725052
1.061280E-3,972.522914E-3,89.854744
1.077360E-3,972.522914E-3,89.854744
1.093440E-3,974.188209E-3,89.941208
1.109520E-3,966.694415E-3,89.552116
1.125600E-3,965.029120E-3,89.465652
1.141680E-3,970.025063E-3,89.725052
1.157760E-3,968.359649E-3,89.638580
1.173840E-3,965.861678E-3,89.508881
1.189920E-3,968.359649E-3,89.638580
1.206000E-3,971.690357E-3,89.811516
