Start,DBDBDB,
End,000000,
,,
x,y,Luminance
0.000000E+0,993.908226E-3,90.936852
16.080001E-6,993.908226E-3,90.936852
32.160002E-6,991.565108E-3,90.720680
48.240003E-6,993.439615E-3,90.893616
64.320004E-6,992.971003E-3,90.850388
80.400001E-6,994.376779E-3,90.980080
96.480006E-6,994.376779E-3,90.980080
112.560010E-6,994.376779E-3,90.980080
128.640007E-6,990.627944E-3,90.634216
144.720005E-6,991.565108E-3,90.720680
160.800002E-6,992.033780E-3,90.763916
176.880014E-6,990.159392E-3,90.590988
192.960011E-6,994.845390E-3,91.023315
209.040008E-6,997.188330E-3,91.239471
225.120020E-6,994.845390E-3,91.023315
241.200018E-6,990.627944E-3,90.634216
257.280015E-6,991.096556E-3,90.677452
273.360027E-6,993.439615E-3,90.893616
289.440010E-6,990.627944E-3,90.634216
305.520021E-6,992.971003E-3,90.850388
321.600004E-6,993.908226E-3,90.936852
337.680016E-6,991.096556E-3,90.677452
353.760028E-6,991.096556E-3,90.677452
369.840011E-6,993.439615E-3,90.893616
385.920022E-6,991.096556E-3,90.677452
402.000034E-6,991.565108E-3,90.720680
418.080017E-6,992.502332E-3,90.807144
434.160029E-6,992.502332E-3,90.807144
450.240041E-6,991.565108E-3,90.720680
466.320023E-6,992.033780E-3,90.763916
482.400035E-6,989.690721E-3,90.547752
498.480047E-6,995.313942E-3,91.066544
514.560030E-6,996.719778E-3,91.196243
530.640013E-6,992.971003E-3,90.850388
546.720054E-6,988.753557E-3,90.461288
562.800036E-6,992.033780E-3,90.763916
578.880019E-6,991.096556E-3,90.677452
594.960060E-6,992.502332E-3,90.807144
611.040043E-6,991.565108E-3,90.720680
627.120025E-6,990.159392E-3,90.590988
643.200008E-6,992.033780E-3,90.763916
659.280049E-6,992.502332E-3,90.807144
675.360032E-6,989.222169E-3,90.504524
691.440015E-6,989.222169E-3,90.504524
707.520056E-6,989.690721E-3,90.547752
723.600038E-6,989.690721E-3,90.547752
739.680021E-6,992.971003E-3,90.850388
755.760062E-6,992.033780E-3,90.763916
771.840045E-6,989.222169E-3,90.504524
787.920028E-6,992.502332E-3,90.807144
804.000068E-6,992.971003E-3,90.850388
820.080051E-6,991.565108E-3,90.720680
836.160034E-6,992.971003E-3,90.850388
852.240075E-6,992.502332E-3,90.807144
868.320058E-6,993.439615E-3,90.893616
884.400040E-6,991.565108E-3,90.720680
900.480081E-6,989.222169E-3,90.504524
916.560064E-6,990.627944E-3,90.634216
932.640047E-6,990.627944E-3,90.634216
948.720030E-6,992.502332E-3,90.807144
964.800071E-6,990.627944E-3,90.634216
980.880111E-6,991.096556E-3,90.677452
996.960094E-6,990.159392E-3,90.590988
1.013040E-3,989.690721E-3,90.547752
1.029120E-3,991.096556E-3,90.677452
1.045200E-3,991.096556E-3,90.677452
1.061280E-3,990.159392E-3,90.590988
1.077360E-3,988.285005E-3,90.418060
1.093440E-3,989.222169E-3,90.504524
1.109520E-3,989.690721E-3,90.547752
1.125600E-3,992.033780E-3,90.763916
1.141680E-3,989.222169E-3,90.504524
1.157760E-3,986.879110E-3,90.288353
1.173840E-3,987.347782E-3,90.331596
1.189920E-3,987.816334E-3,90.374825
1.206000E-3,991.565108E-3,90.720680
1.222080E-3,992.033780E-3,90.763916
1.238160E-3,992.971003E-3,90.850388
1.254240E-3,990.627944E-3,90.634216
1.270320E-3,991.096556E-3,90.677452
1.286400E-3,987.816334E-3,90.374825
1.302480E-3,991.565108E-3,90.720680
1.318560E-3,992.033780E-3,90.763916
1.334640E-3,987.347782E-3,90.331596
1.350720E-3,989.222169E-3,90.504524
1.366800E-3,988.285005E-3,90.418060
1.382880E-3,991.096556E-3,90.677452
1.398960E-3,991.565108E-3,90.720680
1.415040E-3,990.159392E-3,90.590988
1.431120E-3,987.816334E-3,90.374825
1.447200E-3,989.222169E-3,90.504524
1.463280E-3,990.159392E-3,90.590988
1.479360E-3,989.222169E-3,90.504524
1.495440E-3,990.627944E-3,90.634216
1.511520E-3,990.159392E-3,90.590988
1.527600E-3,988.753557E-3,90.461288
1.543680E-3,989.690721E-3,90.547752
1.559760E-3,990.627944E-3,90.634216
1.575840E-3,987.816334E-3,90.374825
1.591920E-3,990.627944E-3,90.634216
1.608000E-3,992.033780E-3,90.763916
1.624080E-3,988.753557E-3,90.461288
1.640160E-3,985.473275E-3,90.158653
1.656240E-3,986.879110E-3,90.288353
1.672320E-3,987.816334E-3,90.374825
1.688400E-3,990.627944E-3,90.634216
1.704480E-3,989.222169E-3,90.504524
1.720560E-3,987.347782E-3,90.331596
1.736640E-3,989.222169E-3,90.504524
1.752720E-3,991.565108E-3,90.720680
1.768800E-3,989.222169E-3,90.504524
1.784880E-3,986.879110E-3,90.288353
1.800960E-3,989.690721E-3,90.547752
1.817040E-3,987.816334E-3,90.374825
1.833120E-3,987.816334E-3,90.374825
1.849200E-3,987.347782E-3,90.331596
1.865280E-3,985.473275E-3,90.158653
1.881360E-3,986.879110E-3,90.288353
1.897440E-3,987.347782E-3,90.331596
1.913520E-3,991.565108E-3,90.720680
1.929600E-3,991.565108E-3,90.720680
1.945680E-3,991.096556E-3,90.677452
1.961760E-3,988.285005E-3,90.418060
1.977840E-3,989.222169E-3,90.504524
1.993920E-3,989.222169E-3,90.504524
2.010000E-3,988.285005E-3,90.418060
2.026080E-3,987.347782E-3,90.331596
2.042160E-3,987.816334E-3,90.374825
2.058240E-3,990.159392E-3,90.590988
2.074320E-3,988.285005E-3,90.418060
2.090400E-3,987.347782E-3,90.331596
2.106480E-3,988.753557E-3,90.461288
2.122560E-3,988.753557E-3,90.461288
2.138640E-3,987.347782E-3,90.331596
2.154720E-3,988.285005E-3,90.418060
2.170800E-3,989.222169E-3,90.504524
2.186880E-3,988.753557E-3,90.461288
2.202960E-3,988.285005E-3,90.418060
2.219040E-3,986.410439E-3,90.245117
2.235120E-3,987.347782E-3,90.331596
2.251200E-3,986.879110E-3,90.288353
2.267280E-3,987.816334E-3,90.374825
2.283360E-3,988.285005E-3,90.418060
2.299440E-3,986.410439E-3,90.245117
2.315520E-3,989.222169E-3,90.504524
2.331600E-3,987.816334E-3,90.374825
2.347680E-3,984.536052E-3,90.072189
2.363760E-3,985.004723E-3,90.115425
2.379840E-3,986.410439E-3,90.245117
2.395920E-3,987.816334E-3,90.374825
2.412000E-3,988.753557E-3,90.461288
2.428080E-3,986.410439E-3,90.245117
2.444160E-3,985.473275E-3,90.158653
2.460240E-3,986.410439E-3,90.245117
2.476320E-3,986.879110E-3,90.288353
2.492400E-3,987.816334E-3,90.374825
2.508480E-3,990.159392E-3,90.590988
2.524560E-3,989.222169E-3,90.504524
2.540640E-3,987.816334E-3,90.374825
2.556720E-3,990.627944E-3,90.634216
2.572800E-3,986.410439E-3,90.245117
2.588880E-3,985.941887E-3,90.201889
2.604960E-3,987.347782E-3,90.331596
2.621040E-3,989.222169E-3,90.504524
2.637120E-3,987.816334E-3,90.374825
2.653200E-3,987.816334E-3,90.374825
2.669280E-3,987.347782E-3,90.331596
2.685360E-3,984.067500E-3,90.028961
2.701440E-3,988.285005E-3,90.418060
2.717520E-3,987.816334E-3,90.374825
2.733600E-3,985.004723E-3,90.115425
2.749680E-3,985.473275E-3,90.158653
2.765760E-3,988.285005E-3,90.418060
2.781840E-3,986.879110E-3,90.288353
2.797920E-3,987.347782E-3,90.331596
2.814000E-3,987.816334E-3,90.374825
2.830080E-3,989.222169E-3,90.504524
2.846160E-3,986.879110E-3,90.288353
2.862240E-3,986.879110E-3,90.288353
2.878320E-3,985.004723E-3,90.115425
2.894400E-3,986.410439E-3,90.245117
2.910480E-3,985.941887E-3,90.201889
2.926560E-3,984.536052E-3,90.072189
2.942640E-3,985.473275E-3,90.158653
2.958720E-3,985.004723E-3,90.115425
2.974800E-3,986.879110E-3,90.288353
2.990880E-3,985.004723E-3,90.115425
3.006960E-3,983.598888E-3,89.985725
3.023040E-3,988.285005E-3,90.418060
3.039120E-3,987.816334E-3,90.374825
3.055200E-3,985.473275E-3,90.158653
3.071280E-3,984.536052E-3,90.072189
3.087360E-3,985.473275E-3,90.158653
3.103440E-3,985.941887E-3,90.201889
3.119520E-3,987.347782E-3,90.331596
3.135600E-3,985.004723E-3,90.115425
3.151680E-3,985.941887E-3,90.201889
3.167760E-3,986.879110E-3,90.288353
3.183840E-3,986.879110E-3,90.288353
3.199920E-3,986.410439E-3,90.245117
3.216000E-3,985.004723E-3,90.115425
3.232080E-3,985.473275E-3,90.158653
3.248160E-3,986.879110E-3,90.288353
3.264240E-3,984.536052E-3,90.072189
3.280320E-3,987.347782E-3,90.331596
3.296400E-3,990.159392E-3,90.590988
3.312480E-3,988.285005E-3,90.418060
3.328560E-3,990.159392E-3,90.590988
3.344640E-3,988.753557E-3,90.461288
3.360720E-3,987.816334E-3,90.374825
3.376800E-3,985.941887E-3,90.201889
3.392880E-3,984.536052E-3,90.072189
3.408960E-3,982.661605E-3,89.899254
3.425040E-3,984.536052E-3,90.072189
3.441120E-3,985.941887E-3,90.201889
3.457200E-3,983.598888E-3,89.985725
3.473280E-3,986.410439E-3,90.245117
3.489360E-3,985.941887E-3,90.201889
3.505440E-3,985.941887E-3,90.201889
3.521520E-3,986.879110E-3,90.288353
3.537600E-3,985.473275E-3,90.158653
3.553680E-3,985.004723E-3,90.115425
3.569760E-3,985.473275E-3,90.158653
3.585840E-3,983.130336E-3,89.942497
3.601920E-3,982.193112E-3,89.856033
3.618000E-3,984.067500E-3,90.028961
3.634080E-3,986.879110E-3,90.288353
3.650160E-3,987.347782E-3,90.331596
3.666240E-3,985.004723E-3,90.115425
3.682320E-3,986.410439E-3,90.245117
3.698400E-3,985.473275E-3,90.158653
3.714480E-3,985.473275E-3,90.158653
3.730560E-3,986.879110E-3,90.288353
3.746640E-3,987.347782E-3,90.331596
3.762720E-3,986.410439E-3,90.245117
3.778800E-3,984.067500E-3,90.028961
3.794880E-3,987.347782E-3,90.331596
3.810960E-3,983.598888E-3,89.985725
3.827040E-3,984.067500E-3,90.028961
3.843120E-3,984.536052E-3,90.072189
3.859200E-3,985.473275E-3,90.158653
3.875280E-3,983.598888E-3,89.985725
3.891360E-3,985.473275E-3,90.158653
3.907440E-3,987.816334E-3,90.374825
3.923520E-3,986.410439E-3,90.245117
3.939600E-3,985.941887E-3,90.201889
3.955680E-3,984.067500E-3,90.028961
3.971760E-3,983.130336E-3,89.942497
3.987840E-3,984.536052E-3,90.072189
4.003920E-3,985.941887E-3,90.201889
4.020000E-3,985.941887E-3,90.201889
4.036080E-3,985.004723E-3,90.115425
4.052160E-3,983.130336E-3,89.942497
4.068240E-3,982.661605E-3,89.899254
4.084320E-3,981.724441E-3,89.812790
4.100400E-3,984.536052E-3,90.072189
4.116480E-3,986.879110E-3,90.288353
4.132560E-3,987.347782E-3,90.331596
4.148640E-3,985.473275E-3,90.158653
4.164720E-3,986.879110E-3,90.288353
4.180800E-3,984.067500E-3,90.028961
4.196880E-3,984.536052E-3,90.072189
4.212960E-3,984.067500E-3,90.028961
4.229040E-3,983.130336E-3,89.942497
4.245120E-3,985.004723E-3,90.115425
4.261200E-3,985.004723E-3,90.115425
4.277280E-3,982.193112E-3,89.856033
4.293360E-3,981.255889E-3,89.769562
