Start,B6B6B6,
End,242424,
,,
x,y,Luminance
0.000000E+0,975.677550E-3,61.884438
16.080001E-6,974.982560E-3,61.841202
32.160002E-6,978.457212E-3,62.057365
48.240003E-6,981.236994E-3,62.230301
64.320004E-6,982.626915E-3,62.316769
80.400001E-6,980.542004E-3,62.187065
96.480006E-6,980.542004E-3,62.187065
112.560010E-6,975.677550E-3,61.884438
128.640007E-6,974.287689E-3,61.797970
144.720005E-6,975.677550E-3,61.884438
160.800002E-6,978.457212E-3,62.057365
176.880014E-6,980.542004E-3,62.187065
192.960011E-6,983.321786E-3,62.360001
209.040008E-6,983.321786E-3,62.360001
225.120020E-6,983.321786E-3,62.360001
241.200018E-6,981.931984E-3,62.273537
257.280015E-6,982.626915E-3,62.316769
273.360027E-6,980.542004E-3,62.187065
289.440010E-6,981.236994E-3,62.230301
305.520021E-6,978.457212E-3,62.057365
321.600004E-6,979.152143E-3,62.100597
337.680016E-6,984.016716E-3,62.403233
353.760028E-6,985.406578E-3,62.489697
369.840011E-6,982.626915E-3,62.316769
385.920022E-6,980.542004E-3,62.187065
402.000034E-6,983.321786E-3,62.360001
418.080017E-6,979.847133E-3,62.143833
434.160029E-6,981.236994E-3,62.230301
450.240041E-6,983.321786E-3,62.360001
466.320023E-6,985.406578E-3,62.489697
482.400035E-6,983.321786E-3,62.360001
498.480047E-6,980.542004E-3,62.187065
514.560030E-6,983.321786E-3,62.360001
530.640013E-6,986.101508E-3,62.532932
546.720054E-6,986.101508E-3,62.532932
562.800036E-6,987.491369E-3,62.619396
578.880019E-6,986.101508E-3,62.532932
594.960060E-6,985.406578E-3,62.489697
611.040043E-6,983.321786E-3,62.360001
627.120025E-6,986.101508E-3,62.532932
643.200008E-6,985.406578E-3,62.489697
659.280049E-6,983.321786E-3,62.360001
675.360032E-6,986.796439E-3,62.576164
691.440015E-6,985.406578E-3,62.489697
707.520056E-6,986.796439E-3,62.576164
723.600038E-6,984.016716E-3,62.403233
739.680021E-6,984.016716E-3,62.403233
755.760062E-6,988.881171E-3,62.705860
771.840045E-6,984.016716E-3,62.403233
787.920028E-6,981.236994E-3,62.230301
804.000068E-6,983.321786E-3,62.360001
820.080051E-6,985.406578E-3,62.489697
836.160034E-6,988.186240E-3,62.662628
852.240075E-6,988.881171E-3,62.705860
868.320058E-6,984.711647E-3,62.446465
884.400040E-6,988.186240E-3,62.662628
900.480081E-6,990.271091E-3,62.792328
916.560064E-6,986.101508E-3,62.532932
932.640047E-6,985.406578E-3,62.489697
948.720030E-6,986.796439E-3,62.576164
964.800071E-6,986.796439E-3,62.576164
980.880111E-6,987.491369E-3,62.619396
996.960094E-6,987.491369E-3,62.619396
1.013040E-3,988.881171E-3,62.705860
1.029120E-3,988.881171E-3,62.705860
1.045200E-3,987.491369E-3,62.619396
1.061280E-3,990.271091E-3,62.792328
1.077360E-3,988.881171E-3,62.705860
1.093440E-3,986.101508E-3,62.532932
1.109520E-3,987.491369E-3,62.619396
1.125600E-3,986.101508E-3,62.532932
1.141680E-3,984.016716E-3,62.403233
1.157760E-3,988.186240E-3,62.662628
1.173840E-3,989.576101E-3,62.749092
1.189920E-3,988.881171E-3,62.705860
1.206000E-3,987.491369E-3,62.619396
1.222080E-3,984.711647E-3,62.446465
1.238160E-3,986.101508E-3,62.532932
1.254240E-3,990.965962E-3,62.835560
1.270320E-3,988.186240E-3,62.662628
1.286400E-3,989.576101E-3,62.749092
1.302480E-3,989.576101E-3,62.749092
1.318560E-3,990.271091E-3,62.792328
1.334640E-3,991.660893E-3,62.878792
1.350720E-3,987.491369E-3,62.619396
1.366800E-3,984.016716E-3,62.403233
1.382880E-3,989.576101E-3,62.749092
1.398960E-3,988.186240E-3,62.662628
1.415040E-3,989.576101E-3,62.749092
1.431120E-3,990.965962E-3,62.835560
1.447200E-3,987.491369E-3,62.619396
1.463280E-3,986.796439E-3,62.576164
1.479360E-3,990.965962E-3,62.835560
1.495440E-3,986.101508E-3,62.532932
1.511520E-3,989.576101E-3,62.749092
1.527600E-3,990.271091E-3,62.792328
1.543680E-3,993.745625E-3,63.008488
1.559760E-3,988.186240E-3,62.662628
1.575840E-3,989.576101E-3,62.749092
1.591920E-3,989.576101E-3,62.749092
1.608000E-3,993.745625E-3,63.008488
1.624080E-3,991.660893E-3,62.878792
1.640160E-3,990.271091E-3,62.792328
1.656240E-3,991.660893E-3,62.878792
1.672320E-3,993.745625E-3,63.008488
1.688400E-3,988.186240E-3,62.662628
1.704480E-3,986.101508E-3,62.532932
1.720560E-3,989.576101E-3,62.749092
1.736640E-3,991.660893E-3,62.878792
1.752720E-3,995.135546E-3,63.094955
1.768800E-3,991.660893E-3,62.878792
1.784880E-3,990.965962E-3,62.835560
1.800960E-3,989.576101E-3,62.749092
1.817040E-3,989.576101E-3,62.749092
1.833120E-3,991.660893E-3,62.878792
1.849200E-3,987.491369E-3,62.619396
1.865280E-3,988.881171E-3,62.705860
1.881360E-3,990.271091E-3,62.792328
1.897440E-3,988.881171E-3,62.705860
1.913520E-3,992.355824E-3,62.922024
1.929600E-3,990.965962E-3,62.835560
1.945680E-3,989.576101E-3,62.749092
1.961760E-3,988.881171E-3,62.705860
1.977840E-3,986.796439E-3,62.576164
1.993920E-3,986.101508E-3,62.532932
2.010000E-3,991.660893E-3,62.878792
2.026080E-3,990.965962E-3,62.835560
2.042160E-3,990.271091E-3,62.792328
2.058240E-3,993.745625E-3,63.008488
2.074320E-3,991.660893E-3,62.878792
2.090400E-3,988.881171E-3,62.705860
2.106480E-3,988.881171E-3,62.705860
2.122560E-3,989.576101E-3,62.749092
2.138640E-3,987.491369E-3,62.619396
2.154720E-3,991.660893E-3,62.878792
2.170800E-3,989.576101E-3,62.749092
2.186880E-3,988.881171E-3,62.705860
2.202960E-3,989.576101E-3,62.749092
2.219040E-3,992.355824E-3,62.922024
2.235120E-3,989.576101E-3,62.749092
2.251200E-3,990.271091E-3,62.792328
2.267280E-3,993.050754E-3,62.965256
2.283360E-3,990.965962E-3,62.835560
2.299440E-3,987.491369E-3,62.619396
2.315520E-3,993.050754E-3,62.965256
2.331600E-3,987.491369E-3,62.619396
2.347680E-3,985.406578E-3,62.489697
2.363760E-3,988.186240E-3,62.662628
2.379840E-3,990.271091E-3,62.792328
2.395920E-3,990.271091E-3,62.792328
2.412000E-3,988.881171E-3,62.705860
2.428080E-3,985.406578E-3,62.489697
2.444160E-3,990.965962E-3,62.835560
2.460240E-3,994.440615E-3,63.051723
2.476320E-3,988.186240E-3,62.662628
2.492400E-3,990.271091E-3,62.792328
2.508480E-3,993.745625E-3,63.008488
2.524560E-3,990.271091E-3,62.792328
2.540640E-3,993.745625E-3,63.008488
2.556720E-3,991.660893E-3,62.878792
2.572800E-3,989.576101E-3,62.749092
2.588880E-3,986.796439E-3,62.576164
2.604960E-3,990.965962E-3,62.835560
2.621040E-3,993.745625E-3,63.008488
2.637120E-3,990.965962E-3,62.835560
2.653200E-3,986.796439E-3,62.576164
2.669280E-3,987.491369E-3,62.619396
2.685360E-3,988.186240E-3,62.662628
2.701440E-3,984.711647E-3,62.446465
2.717520E-3,988.186240E-3,62.662628
2.733600E-3,987.491369E-3,62.619396
2.749680E-3,986.796439E-3,62.576164
2.765760E-3,986.101508E-3,62.532932
2.781840E-3,989.576101E-3,62.749092
2.797920E-3,990.271091E-3,62.792328
2.814000E-3,988.186240E-3,62.662628
2.830080E-3,990.271091E-3,62.792328
2.846160E-3,993.050754E-3,62.965256
2.862240E-3,993.745625E-3,63.008488
2.878320E-3,988.881171E-3,62.705860
2.894400E-3,987.491369E-3,62.619396
2.910480E-3,987.491369E-3,62.619396
2.926560E-3,989.576101E-3,62.749092
2.942640E-3,993.745625E-3,63.008488
2.958720E-3,992.355824E-3,62.922024
2.974800E-3,990.271091E-3,62.792328
2.990880E-3,991.660893E-3,62.878792
3.006960E-3,987.491369E-3,62.619396
3.023040E-3,989.576101E-3,62.749092
3.039120E-3,990.271091E-3,62.792328
3.055200E-3,990.271091E-3,62.792328
3.071280E-3,987.491369E-3,62.619396
3.087360E-3,987.491369E-3,62.619396
3.103440E-3,987.491369E-3,62.619396
3.119520E-3,986.796439E-3,62.576164
3.135600E-3,989.576101E-3,62.749092
3.151680E-3,988.186240E-3,62.662628
3.167760E-3,990.965962E-3,62.835560
3.183840E-3,992.355824E-3,62.922024
3.199920E-3,988.881171E-3,62.705860
3.216000E-3,988.881171E-3,62.705860
3.232080E-3,986.796439E-3,62.576164
3.248160E-3,982.626915E-3,62.316769
3.264240E-3,986.101508E-3,62.532932
3.280320E-3,990.965962E-3,62.835560
3.296400E-3,988.881171E-3,62.705860
3.312480E-3,986.796439E-3,62.576164
3.328560E-3,992.355824E-3,62.922024
3.344640E-3,992.355824E-3,62.922024
3.360720E-3,988.881171E-3,62.705860
3.376800E-3,987.491369E-3,62.619396
3.392880E-3,986.101508E-3,62.532932
3.408960E-3,988.881171E-3,62.705860
3.425040E-3,983.321786E-3,62.360001
3.441120E-3,984.016716E-3,62.403233
3.457200E-3,988.186240E-3,62.662628
3.473280E-3,989.576101E-3,62.749092
3.489360E-3,990.965962E-3,62.835560
3.505440E-3,989.576101E-3,62.749092
3.521520E-3,987.491369E-3,62.619396
3.537600E-3,988.881171E-3,62.705860
3.553680E-3,987.491369E-3,62.619396
