Start,DBDBDB,
End,B6B6B6,
,,
x,y,Luminance
2.412000E-3,967.189729E-3,90.374825
2.428080E-3,975.748718E-3,90.634216
2.444160E-3,980.028391E-3,90.763916
2.460240E-3,972.895741E-3,90.547752
2.476320E-3,970.042706E-3,90.461288
2.492400E-3,980.028391E-3,90.763916
2.508480E-3,974.322379E-3,90.590988
2.524560E-3,968.616307E-3,90.418060
2.540640E-3,964.336455E-3,90.288353
2.556720E-3,964.336455E-3,90.288353
2.572800E-3,972.895741E-3,90.547752
2.588880E-3,974.322379E-3,90.590988
2.604960E-3,981.454790E-3,90.807144
2.621040E-3,972.895741E-3,90.547752
2.637120E-3,971.469343E-3,90.504524
2.653200E-3,977.175355E-3,90.677452
2.669280E-3,970.042706E-3,90.461288
2.685360E-3,972.895741E-3,90.547752
2.701440E-3,975.748718E-3,90.634216
2.717520E-3,975.748718E-3,90.634216
2.733600E-3,970.042706E-3,90.461288
2.749680E-3,974.322379E-3,90.590988
2.765760E-3,971.469343E-3,90.504524
2.781840E-3,975.748718E-3,90.634216
2.797920E-3,972.895741E-3,90.547752
2.814000E-3,970.042706E-3,90.461288
2.830080E-3,977.175355E-3,90.677452
2.846160E-3,974.322379E-3,90.590988
2.862240E-3,975.748718E-3,90.634216
2.878320E-3,974.322379E-3,90.590988
2.894400E-3,970.042706E-3,90.461288
2.910480E-3,972.895741E-3,90.547752
2.926560E-3,978.601754E-3,90.720680
2.942640E-3,978.601754E-3,90.720680
2.958720E-3,975.748718E-3,90.634216
2.974800E-3,978.601754E-3,90.720680
2.990880E-3,977.175355E-3,90.677452
3.006960E-3,975.748718E-3,90.634216
3.023040E-3,972.895741E-3,90.547752
3.039120E-3,974.322379E-3,90.590988
3.055200E-3,972.895741E-3,90.547752
3.071280E-3,975.748718E-3,90.634216
3.087360E-3,977.175355E-3,90.677452
3.103440E-3,970.042706E-3,90.461288
3.119520E-3,972.895741E-3,90.547752
3.135600E-3,972.895741E-3,90.547752
3.151680E-3,968.616307E-3,90.418060
3.167760E-3,964.336455E-3,90.288353
3.183840E-3,972.895741E-3,90.547752
3.199920E-3,984.308064E-3,90.893616
3.216000E-3,974.322379E-3,90.590988
3.232080E-3,967.189729E-3,90.374825
3.248160E-3,967.189729E-3,90.374825
3.264240E-3,962.909818E-3,90.245117
3.280320E-3,961.483419E-3,90.201889
3.296400E-3,967.189729E-3,90.374825
3.312480E-3,972.895741E-3,90.547752
3.328560E-3,975.748718E-3,90.634216
3.344640E-3,974.322379E-3,90.590988
3.360720E-3,977.175355E-3,90.677452
3.376800E-3,970.042706E-3,90.461288
3.392880E-3,965.763330E-3,90.331596
3.408960E-3,955.777407E-3,90.028961
3.425040E-3,962.909818E-3,90.245117
3.441120E-3,967.189729E-3,90.374825
3.457200E-3,968.616307E-3,90.418060
3.473280E-3,977.175355E-3,90.677452
3.489360E-3,970.042706E-3,90.461288
3.505440E-3,968.616307E-3,90.418060
3.521520E-3,985.734701E-3,90.936852
3.537600E-3,972.895741E-3,90.547752
3.553680E-3,975.748718E-3,90.634216
3.569760E-3,965.763330E-3,90.331596
3.585840E-3,967.189729E-3,90.374825
3.601920E-3,970.042706E-3,90.461288
3.618000E-3,968.616307E-3,90.418060
3.634080E-3,972.895741E-3,90.547752
3.650160E-3,960.056782E-3,90.158653
3.666240E-3,971.469343E-3,90.504524
3.682320E-3,974.322379E-3,90.590988
3.698400E-3,977.175355E-3,90.677452
3.714480E-3,968.616307E-3,90.418060
3.730560E-3,970.042706E-3,90.461288
3.746640E-3,975.748718E-3,90.634216
3.762720E-3,975.748718E-3,90.634216
3.778800E-3,975.748718E-3,90.634216
3.794880E-3,972.895741E-3,90.547752
3.810960E-3,970.042706E-3,90.461288
3.827040E-3,965.763330E-3,90.331596
3.843120E-3,972.895741E-3,90.547752
3.859200E-3,978.601754E-3,90.720680
3.875280E-3,975.748718E-3,90.634216
3.891360E-3,964.336455E-3,90.288353
3.907440E-3,967.189729E-3,90.374825
3.923520E-3,974.322379E-3,90.590988
3.939600E-3,964.336455E-3,90.288353
3.955680E-3,961.483419E-3,90.201889
3.971760E-3,974.322379E-3,90.590988
3.987840E-3,961.483419E-3,90.201889
4.003920E-3,957.203746E-3,90.072189
4.020000E-3,970.042706E-3,90.461288
4.036080E-3,970.042706E-3,90.461288
4.052160E-3,967.189729E-3,90.374825
4.068240E-3,962.909818E-3,90.245117
4.084320E-3,968.616307E-3,90.418060
4.100400E-3,974.322379E-3,90.590988
4.116480E-3,964.336455E-3,90.288353
4.132560E-3,965.763330E-3,90.331596
4.148640E-3,967.189729E-3,90.374825
4.164720E-3,972.895741E-3,90.547752
4.180800E-3,975.748718E-3,90.634216
4.196880E-3,977.175355E-3,90.677452
4.212960E-3,970.042706E-3,90.461288
4.229040E-3,970.042706E-3,90.461288
4.245120E-3,970.042706E-3,90.461288
4.261200E-3,964.336455E-3,90.288353
4.277280E-3,964.336455E-3,90.288353
4.293360E-3,970.042706E-3,90.461288
4.309440E-3,972.895741E-3,90.547752
4.325520E-3,962.909818E-3,90.245117
4.341600E-3,960.056782E-3,90.158653
4.357680E-3,965.763330E-3,90.331596
4.373760E-3,958.630383E-3,90.115425
4.389840E-3,955.777407E-3,90.028961
4.405920E-3,962.909818E-3,90.245117
4.422000E-3,964.336455E-3,90.288353
4.438080E-3,967.189729E-3,90.374825
4.454160E-3,975.748718E-3,90.634216
4.470240E-3,965.763330E-3,90.331596
4.486320E-3,961.483419E-3,90.201889
4.502400E-3,960.056782E-3,90.158653
4.518480E-3,971.469343E-3,90.504524
4.534560E-3,970.042706E-3,90.461288
4.550640E-3,960.056782E-3,90.158653
4.566720E-3,967.189729E-3,90.374825
4.582800E-3,960.056782E-3,90.158653
4.598880E-3,968.616307E-3,90.418060
4.614960E-3,968.616307E-3,90.418060
4.631040E-3,962.909818E-3,90.245117
4.647120E-3,957.203746E-3,90.072189
4.663200E-3,968.616307E-3,90.418060
4.679280E-3,960.056782E-3,90.158653
4.695360E-3,952.924371E-3,89.942497
4.711440E-3,960.056782E-3,90.158653
4.727520E-3,970.042706E-3,90.461288
4.743600E-3,970.042706E-3,90.461288
4.759680E-3,970.042706E-3,90.461288
4.775760E-3,968.616307E-3,90.418060
4.791840E-3,958.630383E-3,90.115425
4.807920E-3,961.483419E-3,90.201889
4.824000E-3,971.469343E-3,90.504524
4.840080E-3,962.909818E-3,90.245117
4.856160E-3,947.218120E-3,89.769562
4.872240E-3,955.777407E-3,90.028961
4.888320E-3,957.203746E-3,90.072189
4.904400E-3,955.777407E-3,90.028961
4.920480E-3,967.189729E-3,90.374825
4.936560E-3,967.189729E-3,90.374825
4.952640E-3,965.763330E-3,90.331596
4.968720E-3,962.909818E-3,90.245117
4.984800E-3,955.777407E-3,90.028961
