Start,B6B6B6,
End,DBDBDB,
,,
x,y,Luminance
0.000000E+0,53.977322E-3,62.618500
16.080001E-6,53.977322E-3,62.618500
32.160002E-6,53.977322E-3,62.618500
48.240003E-6,58.238793E-3,62.748199
64.320004E-6,51.136423E-3,62.532036
80.400001E-6,59.659243E-3,62.791431
96.480006E-6,59.659243E-3,62.791431
112.560010E-6,56.818344E-3,62.704967
128.640007E-6,53.977322E-3,62.618500
144.720005E-6,55.397894E-3,62.661736
160.800002E-6,53.977322E-3,62.618500
176.880014E-6,52.556872E-3,62.575268
192.960011E-6,56.818344E-3,62.704967
209.040008E-6,53.977322E-3,62.618500
225.120020E-6,59.659243E-3,62.791431
241.200018E-6,52.556872E-3,62.575268
257.280015E-6,46.875075E-3,62.402340
273.360027E-6,56.818344E-3,62.704967
289.440010E-6,58.238793E-3,62.748199
305.520021E-6,49.715973E-3,62.488804
321.600004E-6,49.715973E-3,62.488804
337.680016E-6,53.977322E-3,62.618500
353.760028E-6,52.556872E-3,62.575268
369.840011E-6,41.193277E-3,62.229412
385.920022E-6,53.977322E-3,62.618500
402.000034E-6,63.920468E-3,62.921124
418.080017E-6,51.136423E-3,62.532036
434.160029E-6,44.034302E-3,62.315880
450.240041E-6,42.613726E-3,62.272644
466.320023E-6,56.818344E-3,62.704967
482.400035E-6,48.295524E-3,62.445572
498.480047E-6,51.136423E-3,62.532036
514.560030E-6,52.556872E-3,62.575268
530.640013E-6,55.397894E-3,62.661736
546.720054E-6,48.295524E-3,62.445572
562.800036E-6,53.977322E-3,62.618500
578.880019E-6,49.715973E-3,62.488804
594.960060E-6,56.818344E-3,62.704967
611.040043E-6,55.397894E-3,62.661736
627.120025E-6,44.034302E-3,62.315880
643.200008E-6,53.977322E-3,62.618500
659.280049E-6,56.818344E-3,62.704967
675.360032E-6,51.136423E-3,62.532036
691.440015E-6,51.136423E-3,62.532036
707.520056E-6,48.295524E-3,62.445572
723.600038E-6,48.295524E-3,62.445572
739.680021E-6,49.715973E-3,62.488804
755.760062E-6,59.659243E-3,62.791431
771.840045E-6,51.136423E-3,62.532036
787.920028E-6,45.454752E-3,62.359112
804.000068E-6,46.875075E-3,62.402340
820.080051E-6,46.875075E-3,62.402340
836.160034E-6,45.454752E-3,62.359112
852.240075E-6,56.818344E-3,62.704967
868.320058E-6,53.977322E-3,62.618500
884.400040E-6,46.875075E-3,62.402340
900.480081E-6,52.556872E-3,62.575268
916.560064E-6,48.295524E-3,62.445572
932.640047E-6,52.556872E-3,62.575268
948.720030E-6,42.613726E-3,62.272644
964.800071E-6,53.977322E-3,62.618500
980.880111E-6,55.397894E-3,62.661736
996.960094E-6,46.875075E-3,62.402340
1.013040E-3,51.136423E-3,62.532036
1.029120E-3,52.556872E-3,62.575268
1.045200E-3,55.397894E-3,62.661736
1.061280E-3,34.090906E-3,62.013248
1.077360E-3,41.193277E-3,62.229412
1.093440E-3,45.454752E-3,62.359112
1.109520E-3,56.818344E-3,62.704967
1.125600E-3,55.397894E-3,62.661736
1.141680E-3,39.772827E-3,62.186180
1.157760E-3,39.772827E-3,62.186180
1.173840E-3,44.034302E-3,62.315880
