Start,B6B6B6,
End,000000,
,,
x,y,Luminance
0.000000E+0,981.270909E-3,62.791431
16.080001E-6,979.264259E-3,62.661736
32.160002E-6,977.926373E-3,62.575268
48.240003E-6,977.926373E-3,62.575268
64.320004E-6,977.926373E-3,62.575268
80.400001E-6,977.926373E-3,62.575268
96.480006E-6,977.926373E-3,62.575268
112.560010E-6,978.595257E-3,62.618500
128.640007E-6,977.257490E-3,62.532036
144.720005E-6,977.926373E-3,62.575268
160.800002E-6,976.588607E-3,62.488804
176.880014E-6,977.926373E-3,62.575268
192.960011E-6,977.926373E-3,62.575268
209.040008E-6,974.581957E-3,62.359112
225.120020E-6,974.581957E-3,62.359112
241.200018E-6,977.257490E-3,62.532036
257.280015E-6,977.257490E-3,62.532036
273.360027E-6,979.264259E-3,62.661736
289.440010E-6,979.264259E-3,62.661736
305.520021E-6,978.595257E-3,62.618500
321.600004E-6,975.250781E-3,62.402340
337.680016E-6,977.257490E-3,62.532036
353.760028E-6,981.270909E-3,62.791431
369.840011E-6,977.257490E-3,62.532036
385.920022E-6,977.257490E-3,62.532036
402.000034E-6,977.257490E-3,62.532036
418.080017E-6,977.257490E-3,62.532036
434.160029E-6,979.264259E-3,62.661736
450.240041E-6,975.250781E-3,62.402340
466.320023E-6,975.250781E-3,62.402340
482.400035E-6,975.250781E-3,62.402340
498.480047E-6,978.595257E-3,62.618500
514.560030E-6,973.244131E-3,62.272644
530.640013E-6,977.257490E-3,62.532036
546.720054E-6,978.595257E-3,62.618500
562.800036E-6,977.926373E-3,62.575268
578.880019E-6,980.602026E-3,62.748199
594.960060E-6,980.602026E-3,62.748199
611.040043E-6,976.588607E-3,62.488804
627.120025E-6,971.237421E-3,62.142948
643.200008E-6,967.892945E-3,61.926785
659.280049E-6,970.568538E-3,62.099716
675.360032E-6,977.257490E-3,62.532036
691.440015E-6,979.264259E-3,62.661736
707.520056E-6,977.257490E-3,62.532036
723.600038E-6,974.581957E-3,62.359112
739.680021E-6,975.250781E-3,62.402340
755.760062E-6,975.919724E-3,62.445572
771.840045E-6,976.588607E-3,62.488804
787.920028E-6,973.913074E-3,62.315880
804.000068E-6,973.913074E-3,62.315880
820.080051E-6,976.588607E-3,62.488804
836.160034E-6,979.264259E-3,62.661736
852.240075E-6,972.575247E-3,62.229412
868.320058E-6,973.913074E-3,62.315880
884.400040E-6,974.581957E-3,62.359112
900.480081E-6,970.568538E-3,62.099716
916.560064E-6,975.919724E-3,62.445572
932.640047E-6,975.250781E-3,62.402340
948.720030E-6,977.257490E-3,62.532036
964.800071E-6,974.581957E-3,62.359112
980.880111E-6,977.926373E-3,62.575268
996.960094E-6,976.588607E-3,62.488804
1.013040E-3,974.581957E-3,62.359112
1.029120E-3,976.588607E-3,62.488804
1.045200E-3,975.919724E-3,62.445572
1.061280E-3,976.588607E-3,62.488804
1.077360E-3,979.264259E-3,62.661736
1.093440E-3,973.244131E-3,62.272644
1.109520E-3,977.257490E-3,62.532036
1.125600E-3,975.919724E-3,62.445572
1.141680E-3,975.250781E-3,62.402340
1.157760E-3,975.250781E-3,62.402340
1.173840E-3,969.899654E-3,62.056484
1.189920E-3,966.555178E-3,61.840324
1.206000E-3,968.561828E-3,61.970016
1.222080E-3,974.581957E-3,62.359112
1.238160E-3,980.602026E-3,62.748199
1.254240E-3,980.602026E-3,62.748199
1.270320E-3,974.581957E-3,62.359112
1.286400E-3,971.237421E-3,62.142948
1.302480E-3,972.575247E-3,62.229412
1.318560E-3,968.561828E-3,61.970016
1.334640E-3,969.230711E-3,62.013248
1.350720E-3,975.919724E-3,62.445572
1.366800E-3,977.257490E-3,62.532036
1.382880E-3,973.244131E-3,62.272644
1.398960E-3,973.244131E-3,62.272644
1.415040E-3,977.257490E-3,62.532036
1.431120E-3,971.906364E-3,62.186180
1.447200E-3,971.906364E-3,62.186180
1.463280E-3,973.244131E-3,62.272644
1.479360E-3,973.244131E-3,62.272644
1.495440E-3,975.250781E-3,62.402340
1.511520E-3,976.588607E-3,62.488804
1.527600E-3,971.906364E-3,62.186180
1.543680E-3,971.906364E-3,62.186180
1.559760E-3,975.250781E-3,62.402340
1.575840E-3,975.919724E-3,62.445572
1.591920E-3,972.575247E-3,62.229412
1.608000E-3,974.581957E-3,62.359112
1.624080E-3,974.581957E-3,62.359112
1.640160E-3,974.581957E-3,62.359112
1.656240E-3,978.595257E-3,62.618500
1.672320E-3,977.926373E-3,62.575268
1.688400E-3,978.595257E-3,62.618500
1.704480E-3,977.926373E-3,62.575268
1.720560E-3,976.588607E-3,62.488804
1.736640E-3,975.250781E-3,62.402340
1.752720E-3,975.250781E-3,62.402340
1.768800E-3,980.602026E-3,62.748199
1.784880E-3,981.939793E-3,62.834663
1.800960E-3,977.257490E-3,62.532036
1.817040E-3,981.270909E-3,62.791431
1.833120E-3,983.946443E-3,62.964355
1.849200E-3,985.284269E-3,63.050823
1.865280E-3,981.270909E-3,62.791431
1.881360E-3,982.608616E-3,62.877892
1.897440E-3,985.284269E-3,63.050823
1.913520E-3,983.946443E-3,62.964355
1.929600E-3,987.290978E-3,63.180519
1.945680E-3,983.277559E-3,62.921124
1.961760E-3,983.277559E-3,62.921124
1.977840E-3,984.615326E-3,63.007587
1.993920E-3,981.939793E-3,62.834663
2.010000E-3,981.270909E-3,62.791431
2.026080E-3,983.277559E-3,62.921124
2.042160E-3,984.615326E-3,63.007587
2.058240E-3,987.959862E-3,63.223751
2.074320E-3,983.946443E-3,62.964355
2.090400E-3,980.602026E-3,62.748199
2.106480E-3,988.628745E-3,63.266983
2.122560E-3,989.966452E-3,63.353443
2.138640E-3,988.628745E-3,63.266983
2.154720E-3,984.615326E-3,63.007587
2.170800E-3,987.959862E-3,63.223751
2.186880E-3,986.622036E-3,63.137287
2.202960E-3,987.290978E-3,63.180519
2.219040E-3,989.966452E-3,63.353443
2.235120E-3,987.959862E-3,63.223751
2.251200E-3,987.959862E-3,63.223751
2.267280E-3,987.290978E-3,63.180519
2.283360E-3,991.973221E-3,63.483143
2.299440E-3,991.973221E-3,63.483143
2.315520E-3,987.959862E-3,63.223751
2.331600E-3,987.959862E-3,63.223751
2.347680E-3,987.959862E-3,63.223751
2.363760E-3,989.966452E-3,63.353443
2.379840E-3,987.959862E-3,63.223751
2.395920E-3,993.979871E-3,63.612839
2.412000E-3,990.635455E-3,63.396679
2.428080E-3,989.297688E-3,63.310219
2.444160E-3,991.304338E-3,63.439911
2.460240E-3,990.635455E-3,63.396679
2.476320E-3,988.628745E-3,63.266983
2.492400E-3,989.966452E-3,63.353443
2.508480E-3,987.959862E-3,63.223751
2.524560E-3,986.622036E-3,63.137287
2.540640E-3,987.959862E-3,63.223751
2.556720E-3,991.973221E-3,63.483143
2.572800E-3,991.304338E-3,63.439911
2.588880E-3,994.648874E-3,63.656075
2.604960E-3,993.310988E-3,63.569607
2.621040E-3,995.317757E-3,63.699306
2.637120E-3,993.979871E-3,63.612839
2.653200E-3,993.979871E-3,63.612839
2.669280E-3,992.642105E-3,63.526375
2.685360E-3,993.979871E-3,63.612839
2.701440E-3,990.635455E-3,63.396679
2.717520E-3,987.290978E-3,63.180519
2.733600E-3,990.635455E-3,63.396679
2.749680E-3,990.635455E-3,63.396679
2.765760E-3,994.648874E-3,63.656075
2.781840E-3,993.310988E-3,63.569607
2.797920E-3,989.966452E-3,63.353443
2.814000E-3,990.635455E-3,63.396679
2.830080E-3,991.973221E-3,63.483143
2.846160E-3,991.973221E-3,63.483143
2.862240E-3,991.973221E-3,63.483143
2.878320E-3,993.310988E-3,63.569607
2.894400E-3,992.642105E-3,63.526375
2.910480E-3,992.642105E-3,63.526375
2.926560E-3,988.628745E-3,63.266983
2.942640E-3,992.642105E-3,63.526375
2.958720E-3,991.304338E-3,63.439911
2.974800E-3,992.642105E-3,63.526375
2.990880E-3,996.655524E-3,63.785770
3.006960E-3,990.635455E-3,63.396679
3.023040E-3,990.635455E-3,63.396679
3.039120E-3,989.966452E-3,63.353443
3.055200E-3,989.966452E-3,63.353443
3.071280E-3,990.635455E-3,63.396679
3.087360E-3,991.973221E-3,63.483143
3.103440E-3,997.324347E-3,63.828999
3.119520E-3,998.662174E-3,63.915462
3.135600E-3,994.648874E-3,63.656075
3.151680E-3,995.986640E-3,63.742538
3.167760E-3,992.642105E-3,63.526375
3.183840E-3,992.642105E-3,63.526375
3.199920E-3,989.297688E-3,63.310219
3.216000E-3,993.979871E-3,63.612839
3.232080E-3,995.986640E-3,63.742538
3.248160E-3,997.993231E-3,63.872231
3.264240E-3,995.986640E-3,63.742538
3.280320E-3,993.310988E-3,63.569607
3.296400E-3,993.310988E-3,63.569607
3.312480E-3,992.642105E-3,63.526375
3.328560E-3,993.979871E-3,63.612839
3.344640E-3,995.986640E-3,63.742538
3.360720E-3,994.648874E-3,63.656075
3.376800E-3,998.662174E-3,63.915462
3.392880E-3,997.993231E-3,63.872231
3.408960E-3,993.979871E-3,63.612839
3.425040E-3,993.310988E-3,63.569607
3.441120E-3,993.979871E-3,63.612839
3.457200E-3,993.310988E-3,63.569607
3.473280E-3,991.304338E-3,63.439911
3.489360E-3,996.655524E-3,63.785770
3.505440E-3,995.317757E-3,63.699306
3.521520E-3,992.642105E-3,63.526375
3.537600E-3,990.635455E-3,63.396679
3.553680E-3,990.635455E-3,63.396679
3.569760E-3,993.310988E-3,63.569607
3.585840E-3,999.331057E-3,63.958694
3.601920E-3,998.662174E-3,63.915462
3.618000E-3,995.986640E-3,63.742538
3.634080E-3,992.642105E-3,63.526375
3.650160E-3,996.655524E-3,63.785770
3.666240E-3,993.979871E-3,63.612839
3.682320E-3,993.979871E-3,63.612839
3.698400E-3,995.986640E-3,63.742538
3.714480E-3,1.000000E+0,64.001930
3.730560E-3,997.993231E-3,63.872231
3.746640E-3,996.655524E-3,63.785770
3.762720E-3,995.317757E-3,63.699306
3.778800E-3,993.310988E-3,63.569607
3.794880E-3,993.979871E-3,63.612839
3.810960E-3,997.324347E-3,63.828999
3.827040E-3,995.986640E-3,63.742538
3.843120E-3,998.662174E-3,63.915462
3.859200E-3,997.993231E-3,63.872231
3.875280E-3,996.655524E-3,63.785770
3.891360E-3,994.648874E-3,63.656075
3.907440E-3,994.648874E-3,63.656075
3.923520E-3,993.979871E-3,63.612839
3.939600E-3,989.966452E-3,63.353443
3.955680E-3,992.642105E-3,63.526375
3.971760E-3,995.986640E-3,63.742538
3.987840E-3,993.979871E-3,63.612839
4.003920E-3,996.655524E-3,63.785770
4.020000E-3,997.324347E-3,63.828999
4.036080E-3,994.648874E-3,63.656075
4.052160E-3,991.304338E-3,63.439911
4.068240E-3,992.642105E-3,63.526375
4.084320E-3,998.662174E-3,63.915462
4.100400E-3,995.986640E-3,63.742538
4.116480E-3,997.324347E-3,63.828999
4.132560E-3,995.986640E-3,63.742538
4.148640E-3,995.986640E-3,63.742538
4.164720E-3,996.655524E-3,63.785770
4.180800E-3,998.662174E-3,63.915462
4.196880E-3,993.979871E-3,63.612839
4.212960E-3,996.655524E-3,63.785770
4.229040E-3,996.655524E-3,63.785770
4.245120E-3,995.986640E-3,63.742538
4.261200E-3,994.648874E-3,63.656075
4.277280E-3,995.317757E-3,63.699306
4.293360E-3,997.993231E-3,63.872231
