Start,6D6D6D,
End,929292,
,,
x,y,Luminance
2.428080E-3,21.691993E-3,21.937077
2.444160E-3,13.015234E-3,21.764149
2.460240E-3,21.691993E-3,21.937077
2.476320E-3,28.199563E-3,22.066772
2.492400E-3,36.876418E-3,22.239702
2.508480E-3,36.876418E-3,22.239702
2.524560E-3,32.538038E-3,22.153238
2.540640E-3,26.030373E-3,22.023540
2.556720E-3,23.861183E-3,21.980309
2.572800E-3,30.368751E-3,22.110004
2.588880E-3,36.876418E-3,22.239702
2.604960E-3,39.045606E-3,22.282934
2.621040E-3,23.861183E-3,21.980309
2.637120E-3,19.522803E-3,21.893845
2.653200E-3,19.522803E-3,21.893845
2.669280E-3,19.522803E-3,21.893845
2.685360E-3,32.538038E-3,22.153238
2.701440E-3,43.383986E-3,22.369398
2.717520E-3,39.045606E-3,22.282934
2.733600E-3,34.707133E-3,22.196468
2.749680E-3,45.553174E-3,22.412630
2.765760E-3,39.045606E-3,22.282934
2.781840E-3,36.876418E-3,22.239702
2.797920E-3,43.383986E-3,22.369398
2.814000E-3,47.722463E-3,22.455864
2.830080E-3,39.045606E-3,22.282934
2.846160E-3,28.199563E-3,22.066772
2.862240E-3,45.553174E-3,22.412630
2.878320E-3,32.538038E-3,22.153238
2.894400E-3,39.045606E-3,22.282934
2.910480E-3,43.383986E-3,22.369398
2.926560E-3,36.876418E-3,22.239702
2.942640E-3,28.199563E-3,22.066772
2.958720E-3,36.876418E-3,22.239702
2.974800E-3,39.045606E-3,22.282934
2.990880E-3,39.045606E-3,22.282934
3.006960E-3,34.707133E-3,22.196468
3.023040E-3,49.891461E-3,22.499092
3.039120E-3,47.722463E-3,22.455864
3.055200E-3,39.045606E-3,22.282934
3.071280E-3,36.876418E-3,22.239702
3.087360E-3,28.199563E-3,22.066772
3.103440E-3,30.368751E-3,22.110004
3.119520E-3,30.368751E-3,22.110004
3.135600E-3,28.199563E-3,22.066772
3.151680E-3,43.383986E-3,22.369398
3.167760E-3,52.060746E-3,22.542326
3.183840E-3,47.722463E-3,22.455864
3.199920E-3,41.214701E-3,22.326164
3.216000E-3,45.553174E-3,22.412630
3.232080E-3,45.553174E-3,22.412630
3.248160E-3,32.538038E-3,22.153238
3.264240E-3,41.214701E-3,22.326164
3.280320E-3,43.383986E-3,22.369398
3.296400E-3,32.538038E-3,22.153238
3.312480E-3,34.707133E-3,22.196468
3.328560E-3,30.368751E-3,22.110004
3.344640E-3,54.229934E-3,22.585558
3.360720E-3,43.383986E-3,22.369398
3.376800E-3,41.214701E-3,22.326164
3.392880E-3,41.214701E-3,22.326164
3.408960E-3,39.045606E-3,22.282934
3.425040E-3,45.553174E-3,22.412630
3.441120E-3,52.060746E-3,22.542326
3.457200E-3,49.891461E-3,22.499092
3.473280E-3,67.245170E-3,22.844952
3.489360E-3,45.553174E-3,22.412630
3.505440E-3,34.707133E-3,22.196468
3.521520E-3,34.707133E-3,22.196468
3.537600E-3,43.383986E-3,22.369398
3.553680E-3,45.553174E-3,22.412630
3.569760E-3,45.553174E-3,22.412630
3.585840E-3,49.891461E-3,22.499092
3.601920E-3,30.368751E-3,22.110004
3.618000E-3,26.030373E-3,22.023540
3.634080E-3,41.214701E-3,22.326164
3.650160E-3,54.229934E-3,22.585558
3.666240E-3,47.722463E-3,22.455864
3.682320E-3,54.229934E-3,22.585558
3.698400E-3,52.060746E-3,22.542326
3.714480E-3,49.891461E-3,22.499092
3.730560E-3,47.722463E-3,22.455864
3.746640E-3,47.722463E-3,22.455864
3.762720E-3,49.891461E-3,22.499092
3.778800E-3,52.060746E-3,22.542326
3.794880E-3,43.383986E-3,22.369398
3.810960E-3,47.722463E-3,22.455864
3.827040E-3,49.891461E-3,22.499092
3.843120E-3,56.399126E-3,22.628790
3.859200E-3,45.553174E-3,22.412630
3.875280E-3,43.383986E-3,22.369398
3.891360E-3,52.060746E-3,22.542326
3.907440E-3,60.737502E-3,22.715254
