Start,FFFFFF,
End,242424,
,,
x,y,Luminance
0.000000E+0,983.985782E-3,120.724205
16.080001E-6,983.274043E-3,120.637741
32.160002E-6,980.782866E-3,120.335106
48.240003E-6,979.715347E-3,120.205414
64.320004E-6,983.274043E-3,120.637741
80.400001E-6,984.341621E-3,120.767433
96.480006E-6,985.409319E-3,120.897141
112.560010E-6,981.138825E-3,120.378349
128.640007E-6,981.138825E-3,120.378349
144.720005E-6,980.782866E-3,120.335106
160.800002E-6,983.274043E-3,120.637741
176.880014E-6,983.985782E-3,120.724205
192.960011E-6,984.341621E-3,120.767433
209.040008E-6,984.697580E-3,120.810677
225.120020E-6,982.918143E-3,120.594505
241.200018E-6,980.427146E-3,120.291885
257.280015E-6,981.138825E-3,120.378349
273.360027E-6,982.562304E-3,120.551277
289.440010E-6,981.494665E-3,120.421577
305.520021E-6,983.274043E-3,120.637741
321.600004E-6,983.985782E-3,120.724205
337.680016E-6,983.629882E-3,120.680969
353.760028E-6,984.697580E-3,120.810677
369.840011E-6,985.053360E-3,120.853897
385.920022E-6,985.053360E-3,120.853897
402.000034E-6,982.918143E-3,120.594505
418.080017E-6,980.782866E-3,120.335106
434.160029E-6,979.359448E-3,120.162178
450.240041E-6,981.138825E-3,120.378349
466.320023E-6,982.918143E-3,120.594505
482.400035E-6,983.274043E-3,120.637741
498.480047E-6,981.494665E-3,120.421577
514.560030E-6,983.985782E-3,120.724205
530.640013E-6,985.053360E-3,120.853897
546.720054E-6,982.562304E-3,120.551277
562.800036E-6,982.918143E-3,120.594505
578.880019E-6,986.476898E-3,121.026840
594.960060E-6,982.918143E-3,120.594505
611.040043E-6,982.918143E-3,120.594505
627.120025E-6,982.562304E-3,120.551277
643.200008E-6,981.138825E-3,120.378349
659.280049E-6,983.629882E-3,120.680969
675.360032E-6,983.629882E-3,120.680969
691.440015E-6,982.562304E-3,120.551277
707.520056E-6,983.274043E-3,120.637741
723.600038E-6,983.629882E-3,120.680969
739.680021E-6,983.985782E-3,120.724205
755.760062E-6,984.697580E-3,120.810677
771.840045E-6,982.562304E-3,120.551277
787.920028E-6,983.629882E-3,120.680969
804.000068E-6,984.697580E-3,120.810677
820.080051E-6,982.206404E-3,120.508041
836.160034E-6,980.782866E-3,120.335106
852.240075E-6,982.562304E-3,120.551277
868.320058E-6,983.274043E-3,120.637741
884.400040E-6,984.341621E-3,120.767433
900.480081E-6,983.985782E-3,120.724205
916.560064E-6,981.850564E-3,120.464813
932.640047E-6,980.782866E-3,120.335106
948.720030E-6,980.782866E-3,120.335106
964.800071E-6,980.782866E-3,120.335106
980.880111E-6,984.341621E-3,120.767433
996.960094E-6,983.629882E-3,120.680969
1.013040E-3,981.850564E-3,120.464813
1.029120E-3,981.494665E-3,120.421577
1.045200E-3,983.274043E-3,120.637741
1.061280E-3,981.494665E-3,120.421577
1.077360E-3,982.206404E-3,120.508041
1.093440E-3,981.494665E-3,120.421577
1.109520E-3,984.341621E-3,120.767433
1.125600E-3,981.138825E-3,120.378349
1.141680E-3,978.647709E-3,120.075714
1.157760E-3,983.985782E-3,120.724205
1.173840E-3,983.629882E-3,120.680969
1.189920E-3,985.765159E-3,120.940369
1.206000E-3,985.765159E-3,120.940369
1.222080E-3,983.629882E-3,120.680969
1.238160E-3,982.206404E-3,120.508041
1.254240E-3,981.850564E-3,120.464813
1.270320E-3,982.918143E-3,120.594505
1.286400E-3,983.629882E-3,120.680969
1.302480E-3,984.341621E-3,120.767433
1.318560E-3,984.697580E-3,120.810677
1.334640E-3,985.409319E-3,120.897141
1.350720E-3,983.985782E-3,120.724205
1.366800E-3,983.274043E-3,120.637741
1.382880E-3,982.562304E-3,120.551277
1.398960E-3,984.697580E-3,120.810677
1.415040E-3,983.629882E-3,120.680969
1.431120E-3,981.850564E-3,120.464813
1.447200E-3,982.206404E-3,120.508041
1.463280E-3,982.206404E-3,120.508041
1.479360E-3,982.562304E-3,120.551277
1.495440E-3,983.274043E-3,120.637741
1.511520E-3,980.782866E-3,120.335106
1.527600E-3,981.138825E-3,120.378349
1.543680E-3,980.782866E-3,120.335106
1.559760E-3,980.782866E-3,120.335106
1.575840E-3,979.715347E-3,120.205414
1.591920E-3,982.206404E-3,120.508041
1.608000E-3,985.053360E-3,120.853897
1.624080E-3,984.697580E-3,120.810677
1.640160E-3,981.850564E-3,120.464813
1.656240E-3,983.629882E-3,120.680969
1.672320E-3,983.985782E-3,120.724205
1.688400E-3,982.918143E-3,120.594505
1.704480E-3,985.409319E-3,120.897141
1.720560E-3,985.053360E-3,120.853897
1.736640E-3,983.629882E-3,120.680969
1.752720E-3,982.562304E-3,120.551277
1.768800E-3,980.427146E-3,120.291885
1.784880E-3,983.629882E-3,120.680969
1.800960E-3,984.697580E-3,120.810677
1.817040E-3,981.850564E-3,120.464813
1.833120E-3,983.629882E-3,120.680969
1.849200E-3,986.120999E-3,120.983604
1.865280E-3,984.341621E-3,120.767433
1.881360E-3,984.341621E-3,120.767433
1.897440E-3,983.985782E-3,120.724205
1.913520E-3,981.494665E-3,120.421577
1.929600E-3,983.274043E-3,120.637741
1.945680E-3,982.562304E-3,120.551277
1.961760E-3,983.274043E-3,120.637741
1.977840E-3,985.409319E-3,120.897141
1.993920E-3,984.341621E-3,120.767433
2.010000E-3,983.629882E-3,120.680969
2.026080E-3,984.697580E-3,120.810677
2.042160E-3,983.629882E-3,120.680969
2.058240E-3,986.832738E-3,121.070068
2.074320E-3,986.476898E-3,121.026840
2.090400E-3,985.053360E-3,120.853897
2.106480E-3,986.120999E-3,120.983604
2.122560E-3,983.985782E-3,120.724205
2.138640E-3,985.765159E-3,120.940369
2.154720E-3,988.612175E-3,121.286240
2.170800E-3,988.968015E-3,121.329468
2.186880E-3,986.476898E-3,121.026840
2.202960E-3,988.256216E-3,121.242996
2.219040E-3,989.679754E-3,121.415932
2.235120E-3,990.391493E-3,121.502396
2.251200E-3,990.391493E-3,121.502396
2.267280E-3,988.968015E-3,121.329468
2.283360E-3,990.391493E-3,121.502396
2.299440E-3,991.814911E-3,121.675323
2.315520E-3,990.747392E-3,121.545631
2.331600E-3,990.035653E-3,121.459167
2.347680E-3,989.323914E-3,121.372704
2.363760E-3,991.459131E-3,121.632095
2.379840E-3,988.968015E-3,121.329468
2.395920E-3,988.256216E-3,121.242996
2.412000E-3,991.103232E-3,121.588860
2.428080E-3,991.103232E-3,121.588860
2.444160E-3,991.103232E-3,121.588860
2.460240E-3,990.035653E-3,121.459167
2.476320E-3,992.526650E-3,121.761787
2.492400E-3,991.814911E-3,121.675323
2.508480E-3,991.814911E-3,121.675323
2.524560E-3,991.103232E-3,121.588860
2.540640E-3,991.814911E-3,121.675323
2.556720E-3,989.323914E-3,121.372704
2.572800E-3,990.035653E-3,121.459167
2.588880E-3,990.391493E-3,121.502396
2.604960E-3,992.526650E-3,121.761787
2.621040E-3,992.170870E-3,121.718567
2.637120E-3,992.882609E-3,121.805031
2.653200E-3,993.594348E-3,121.891495
2.669280E-3,991.459131E-3,121.632095
2.685360E-3,991.459131E-3,121.632095
2.701440E-3,992.882609E-3,121.805031
2.717520E-3,992.526650E-3,121.761787
2.733600E-3,991.459131E-3,121.632095
2.749680E-3,991.103232E-3,121.588860
2.765760E-3,990.747392E-3,121.545631
2.781840E-3,993.238449E-3,121.848259
2.797920E-3,991.814911E-3,121.675323
2.814000E-3,991.103232E-3,121.588860
2.830080E-3,992.882609E-3,121.805031
2.846160E-3,991.814911E-3,121.675323
2.862240E-3,992.526650E-3,121.761787
2.878320E-3,990.747392E-3,121.545631
2.894400E-3,990.391493E-3,121.502396
2.910480E-3,987.900436E-3,121.199776
2.926560E-3,989.679754E-3,121.415932
2.942640E-3,990.035653E-3,121.459167
2.958720E-3,991.814911E-3,121.675323
2.974800E-3,991.814911E-3,121.675323
2.990880E-3,992.882609E-3,121.805031
3.006960E-3,992.882609E-3,121.805031
3.023040E-3,992.882609E-3,121.805031
3.039120E-3,992.882609E-3,121.805031
3.055200E-3,992.526650E-3,121.761787
3.071280E-3,990.391493E-3,121.502396
3.087360E-3,991.814911E-3,121.675323
3.103440E-3,993.950188E-3,121.934723
3.119520E-3,991.814911E-3,121.675323
3.135600E-3,990.035653E-3,121.459167
3.151680E-3,993.238449E-3,121.848259
3.167760E-3,990.747392E-3,121.545631
3.183840E-3,988.968015E-3,121.329468
3.199920E-3,991.103232E-3,121.588860
3.216000E-3,991.103232E-3,121.588860
3.232080E-3,991.814911E-3,121.675323
3.248160E-3,991.103232E-3,121.588860
3.264240E-3,992.882609E-3,121.805031
3.280320E-3,990.747392E-3,121.545631
3.296400E-3,990.035653E-3,121.459167
3.312480E-3,987.544477E-3,121.156532
3.328560E-3,989.323914E-3,121.372704
3.344640E-3,993.238449E-3,121.848259
3.360720E-3,993.238449E-3,121.848259
3.376800E-3,989.679754E-3,121.415932
3.392880E-3,990.035653E-3,121.459167
3.408960E-3,991.103232E-3,121.588860
3.425040E-3,992.882609E-3,121.805031
3.441120E-3,993.238449E-3,121.848259
3.457200E-3,990.391493E-3,121.502396
3.473280E-3,990.747392E-3,121.545631
3.489360E-3,990.035653E-3,121.459167
3.505440E-3,989.679754E-3,121.415932
3.521520E-3,990.035653E-3,121.459167
3.537600E-3,990.035653E-3,121.459167
3.553680E-3,990.391493E-3,121.502396
